3PL,20150501,2.53,2.61,2.53,2.61,85616
8IH,20150501,1.01,1.02,1.01,1.02,17500
A2M,20150501,.50,.50,.495,.50,797093
AAA,20150501,50.10,50.10,50.07,50.07,33608
AAC,20150501,1.62,1.622,1.60,1.60,779074
AAD,20150501,1.985,2.00,1.945,1.985,3791803
AAJ,20150501,.008,.008,.008,.008,930000
AAK,20150501,.001,.001,.001,.001,100000
AAX,20150501,.29,.29,.28,.285,226840
AB1,20150501,.17,.17,.16,.16,20097
ABA,20150501,5.35,5.38,5.35,5.38,10002
ABC,20150501,4.55,4.565,4.48,4.55,707536
ABP,20150501,2.92,3.01,2.91,2.98,601822
ABU,20150501,.255,.26,.255,.26,21490
ABX,20150501,.325,.325,.315,.315,85945
ABY,20150501,.195,.195,.195,.195,102505
ACG,20150501,.25,.25,.24,.245,34975
ACL,20150501,.058,.058,.056,.057,1243546
ACQ,20150501,.785,.785,.775,.785,161901
ACR,20150501,.89,.89,.86,.865,345680
ACW,20150501,.097,.10,.097,.098,394113
ACX,20150501,2.35,2.47,2.35,2.40,47558
ADA,20150501,.40,.40,.40,.40,1000
ADJ,20150501,.09,.105,.09,.10,8218800
ADO,20150501,.094,.095,.091,.091,1229352
ADY,20150501,.02,.02,.02,.02,10000
AEB,20150501,.054,.057,.054,.057,82556
AEF,20150501,49.99,49.99,49.99,49.99,84
AEI,20150501,.48,.49,.45,.49,134820
AEK,20150501,.08,.08,.079,.08,331610
AER,20150501,.205,.205,.205,.205,20800
AFI,20150501,6.20,6.23,6.19,6.22,314270
AFJ,20150501,1.065,1.105,1.065,1.09,1423104
AFR,20150501,.073,.073,.073,.073,200000
AGD,20150501,.16,.16,.16,.16,40000
AGF,20150501,1.50,1.52,1.49,1.50,347633
AGG,20150501,2.81,2.82,2.81,2.82,2245
AGI,20150501,2.83,2.87,2.76,2.85,1248075
AGL,20150501,15.26,15.265,14.95,15.04,1526613
AGR,20150501,.06,.063,.06,.063,180000
AGS,20150501,.08,.083,.08,.08,142038
AHD,20150501,12.30,12.49,12.30,12.44,12627
AHG,20150501,4.22,4.28,4.20,4.28,217830
AHQ,20150501,.01,.01,.008,.008,666667
AHY,20150501,1.835,1.87,1.81,1.855,922982
AHZ,20150501,.076,.077,.073,.073,4640567
AIA,20150501,4.44,4.45,4.38,4.38,96993
AIO,20150501,6.57,6.65,6.53,6.65,1887031
AIR,20150501,.11,.11,.11,.11,1104
AIZ,20150501,2.60,2.61,2.57,2.57,21235
AJA,20150501,5.28,5.30,5.27,5.30,72195
AJD,20150501,1.30,1.315,1.30,1.315,26176
AJL,20150501,.35,.35,.30,.30,7000
AJM,20150501,.011,.011,.011,.011,1727353
AJQ,20150501,.066,.067,.057,.059,480829
AKK,20150501,.028,.028,.025,.026,1420805
AKM,20150501,.021,.022,.021,.022,59998
AKP,20150501,9.48,9.48,9.35,9.48,1847
ALA,20150501,.155,.155,.155,.155,7140
ALF,20150501,1.275,1.285,1.265,1.285,176912
ALK,20150501,.265,.285,.265,.265,664978
ALL,20150501,8.42,8.61,8.235,8.31,3494113
ALQ,20150501,5.34,5.65,5.31,5.63,3367866
ALR,20150501,1.20,1.20,1.20,1.20,5660
ALT,20150501,.02,.02,.02,.02,200556
ALU,20150501,5.19,5.20,5.04,5.17,506090
AMA,20150501,.50,.50,.495,.495,8329
AMC,20150501,13.69,13.69,13.44,13.55,2785787
AMH,20150501,.91,.91,.905,.905,22367
AMI,20150501,.25,.255,.245,.255,96178
AMM,20150501,2.34,2.345,2.29,2.32,1042326
AMN,20150501,.14,.14,.14,.14,25000
AMP,20150501,6.48,6.57,6.455,6.55,13272775
ANG,20150501,.72,.74,.70,.735,30056
ANI,20150501,2.36,2.38,2.36,2.37,118406
ANN,20150501,26.02,26.41,25.08,26.35,926644
ANP,20150501,.145,.15,.14,.15,441154
ANQ,20150501,.004,.004,.004,.004,2778556
ANZ,20150501,33.86,34.30,33.80,34.15,6043846
AOG,20150501,2.70,2.76,2.68,2.72,1038937
AOH,20150501,.105,.105,.105,.105,25547
AOK,20150501,.115,.12,.115,.115,379501
AON,20150501,.01,.01,.01,.01,672770
AOP,20150501,.029,.032,.029,.032,169923
AOW,20150501,.15,.15,.15,.15,45000
APA,20150501,9.64,9.65,9.44,9.60,2692197
APD,20150501,.42,.42,.415,.415,40000
APE,20150501,8.85,8.99,8.73,8.99,23344
API,20150501,1.65,1.65,1.61,1.615,520067
APN,20150501,.94,.94,.93,.935,1210755
APO,20150501,3.25,3.27,3.23,3.25,1219998
APW,20150501,.135,.135,.135,.135,60000
APX,20150501,.71,.71,.70,.70,28818
APY,20150501,.004,.004,.004,.004,240084
APZ,20150501,1.26,1.26,1.25,1.26,36261
AQD,20150501,.017,.017,.016,.017,1283389
AQG,20150501,2.88,2.93,2.84,2.89,271025
AQP,20150501,.17,.175,.165,.17,1047386
AQR,20150501,.085,.085,.085,.085,178643
ARA,20150501,.39,.39,.39,.39,3000
ARB,20150501,12.40,12.67,12.23,12.50,128169
ARF,20150501,1.67,1.69,1.655,1.685,84894
ARG,20150501,7.86,8.00,7.81,8.00,131104
