Public Holiday,Date,Applies to these states,SEATS/ CLICK,Settlement/No settlement,Business day *
New Year’s Day,Tues 1 Jan,All States,Closed,No Settlement,NO
Devonport Cup,Wed 9 Jan,TAS1,Open,Settlement,YES
Australia Day,Mon 28 Jan,All States,Closed,No Settlement,NO
Royal Hobart Regatta,Mon 11 Feb,TAS1,Open,Settlement,YES
Launceston Cup,Wed 27 Feb,TAS1,Open,Settlement,YES
Labour Day,Mon 4 Mar,WA,Open,Settlement,YES
King Island Show,Tue 5 Mar,TAS1,Open,Settlement,YES
Labour Day / Eight Hours Day,Mon 11 Mar,VIC/TAS,Open,No Settlement,NO
Canberra Day,Mon 18 Mar,ACT,Open,Settlement,YES
Good Friday,Fri 29 Mar,All States,Closed,No Settlement,NO
Easter Monday,Mon 1 Apr,All States,Closed,No Settlement,NO
ANZAC Day,Thurs 25 Apr,All States,Closed,No Settlement,NO
Labour Day,Mon 6 May,QLD,Open,Settlement,YES
Adelaide Cup Day,Mon 20 May,SA,Open,Settlement,YES
Foundation Day,Mon 3 Jun,WA,Open,Settlement,YES
Queen’s Birthday,Mon 10 Jun,All States except WA,Closed,No Settlement,NO
Bank Holiday,Mon 5 Aug,NSW2,Open,No Settlement,NO
Royal National Show Day,Wed 14 Aug,QLD3,Open,Settlement,YES
Queens Birthday,Mon 30 Sept,WA,Open,Settlement,YES
Burnie Show,Fri 4 Oct,TAS1,Open,Settlement,YES
Labour Day,Mon 7 Oct,NSW/ACT/SA,Open,No Settlement,NO
Launceston Show,Thur 10 Oct,TAS1,Open,Settlement,YES
Flinders Island Show,Fri 18 Oct,TAS1,Open,Settlement,YES
Hobart Show,Thur 24 Oct,TAS1,Open,Settlement,YES
Recreation Day,Mon 4 Nov,TAS1,Open,Settlement,YES
Melbourne Cup Day,Tue 5 Nov,VIC4,Open,No Settlement,NO
Devonport Show,Fri 29 Nov,TAS1,Open,Settlement,YES
Christmas Day,Wed 25 Dec,All States,Closed,No Settlement,NO
Boxing Day / Proclamation Day,Thurs 26 Dec,All States,Closed,No Settlement,NO
