Public Holiday,Dates for 2017,Applies to the Following States,Trading Day1,Settlement Activity -,Settlement Activity - ASX Clear (Derivatives),Business Day2
,,,,ASX Settlement (CHESS),,
New Year's Day,Monday 2 January,ALL3,CLOSED,No Settlement,No Settlement,NO
Australia Day,Thursday 26 January,ALL,CLOSED,No Settlement,No Settlement,NO
Good Friday,Friday 14 April,ALL,CLOSED,No Settlement,No Settlement,NO
Easter Monday,Monday 17 April,ALL,CLOSED,No Settlement,No Settlement,NO
ANZAC Day,Tuesday 25 April,ALL,CLOSED,No Settlement,No Settlement,NO
Queen's Birthday,Monday 12 June,ALL except WA & QLD,CLOSED,No Settlement,No Settlement,NO
Christmas Day,Monday 25 December,ALL,CLOSED,No Settlement,No Settlement,NO
Boxing Day / Proclamation Day / Christmas Day,Tuesday 26 December3,ALL except SA,CLOSED,No Settlement,No Settlement,NO           
