"AAC","20051125","1.755","1.76","1.75","1.75","76213"
"AAE","20051125","0.46","0.505","0.46","0.49","500170"
"AAM","20051125","0.285","0.285","0.27","0.28","69500"
"AAR","20051125","0.019","0.019","0.019","0.019","6400"
"AAT","20051125","0.086","0.086","0.086","0.086","35985"
"AAU","20051125","0.66","0.66","0.65","0.65","80676"
"AAZPA","20051125","66.95","66.95","66.91","66.91","76994"
"ABB","20051125","7.00","7.05","7.00","7.05","35080"
"ABC","20051125","2.00","2.04","2.00","2.00","547609"
"ABI","20051125","0.105","0.105","0.105","0.105","273000"
"ABP","20051125","1.38","1.38","1.375","1.38","150871"
"ABQ","20051125","0.23","0.23","0.23","0.23","34500"
"ABS","20051125","7.40","7.40","7.24","7.29","1073640"
"ABSPA","20051125","7.50","7.50","7.40","7.42","5480"
"ACE","20051125","0.16","0.19","0.155","0.19","52000"
"ACG","20051125","0.70","0.70","0.66","0.70","130150"
"ACL","20051125","1.34","1.39","1.33","1.35","157957"
"ACR","20051125","0.62","0.62","0.62","0.62","5000"
"ACS","20051125","0.18","0.18","0.18","0.18","24000"
"ACU","20051125","0.14","0.14","0.13","0.13","266000"
"ADA","20051125","0.41","0.41","0.40","0.41","95841"
"ADB","20051125","12.95","13.11","12.95","13.04","132037"
"ADBHB","20051125","99.00","99.00","99.00","99.00","447"
"ADBPA","20051125","104.25","104.25","104.25","104.25","119"
"ADG","20051125","3.19","3.23","3.17","3.17","9214"
"ADI","20051125","0.33","0.34","0.33","0.335","51853"
"ADL","20051125","0.069","0.069","0.069","0.069","4000"
"ADN","20051125","0.60","0.60","0.54","0.55","566067"
"ADT","20051125","1.20","1.20","1.19","1.19","5257"
"ADU","20051125","0.59","0.59","0.57","0.58","102640"
"ADX","20051125","0.135","0.14","0.135","0.14","119775"
"ADXO","20051125","0.058","0.058","0.058","0.058","55000"
"ADY","20051125","0.115","0.115","0.11","0.115","1562084"
"ADZ","20051125","1.88","1.88","1.865","1.87","108819"
"AEC","20051125","2.50","2.50","2.50","2.50","10000"
"AED","20051125","0.89","0.935","0.88","0.90","255566"
"AEI","20051125","0.70","0.70","0.67","0.67","24200"
"AEN","20051125","1.70","1.80","1.70","1.73","89194"
"AEO","20051125","1.585","1.585","1.55","1.55","180248"
"AEQCA","20051125","1.135","1.135","1.11","1.11","157850"
"AET","20051125","0.41","0.41","0.41","0.41","1879"
"AEU","20051125","1.54","1.54","1.52","1.54","218006"
"AEX","20051125","0.026","0.027","0.026","0.026","1136000"
"AEYG","20051125","87.50","87.60","87.10","87.60","1566"
"AEZCA","20051125","0.84","0.84","0.83","0.83","328986"
"AFI","20051125","4.06","4.13","4.06","4.10","909834"
"AFS","20051125","0.06","0.06","0.06","0.06","16650"
"AFT","20051125","0.024","0.024","0.022","0.022","8731933"
"AGC","20051125","1.28","1.30","1.28","1.30","30000"
"AGG","20051125","11.70","11.70","11.70","11.70","1771"
"AGI","20051125","0.54","0.55","0.53","0.53","57924"
"AGIG","20051125","1.05","1.05","1.045","1.045","5000"
"AGL","20051125","16.35","16.49","16.25","16.27","775420"
"AGLIMC","20051125","8.32","8.32","8.32","8.32","5000"
"AGLWOI","20051125","0.265","0.265","0.265","0.265","12000"
"AGLWOL","20051125","0.295","0.295","0.295","0.295","13000"
"AGLWOZ","20051125","0.15","0.15","0.15","0.15","20000"
"AGM","20051125","0.14","0.14","0.135","0.14","1978129"
"AGO","20051125","0.24","0.26","0.24","0.26","631366"
"AGS","20051125","0.165","0.18","0.16","0.18","3492391"
"AGX","20051125","0.265","0.27","0.265","0.27","97147"
"AGZ","20051125","0.28","0.28","0.28","0.28","22854"
"AHD","20051125","4.30","4.34","4.30","4.34","1800"
"AHE","20051125","1.10","1.10","1.09","1.09","184191"
"AHS","20051125","1.14","1.165","1.125","1.16","287272"
"AHU","20051125","7.50","7.50","7.50","7.50","190"
"AHUG","20051125","98.10","98.10","98.01","98.01","340"
"AHUGA","20051125","96.50","96.75","96.50","96.75","1790"
"AIA","20051125","1.81","1.82","1.785","1.815","344472"
