AAT,20020725,.20,.20,.19,.195,97703
AAU,20020725,1.05,1.05,1.05,1.05,15000
ABB,20020725,3.00,3.03,2.95,3.00,133387
ABC,20020725,.76,.77,.74,.74,917198
ABG,20020725,2.13,2.13,2.13,2.13,10839
ABI,20020725,1.24,1.24,1.22,1.22,42310
ABIO,20020725,.14,.14,.13,.14,10300
ABKO,20020725,.001,.001,.001,.001,200000
ABS,20020725,11.50,12.00,11.50,12.00,24800
ABX,20020725,.42,.42,.41,.41,23747
ABXO,20020725,.22,.22,.22,.22,19500
ACE,20020725,.055,.055,.055,.055,46000
ACU,20020725,.14,.14,.14,.14,100000
ADA,20020725,.72,.76,.72,.75,11000
ADB,20020725,6.82,6.99,6.82,6.82,91673
ADBHB,20020725,86.10,86.50,86.10,86.50,175
ADG,20020725,2.40,2.40,2.37,2.37,19876
ADP,20020725,2.55,2.59,2.53,2.53,550393
ADX,20020725,.32,.32,.32,.32,35758
ADXOA,20020725,.15,.15,.15,.15,4214
ADZ,20020725,1.98,2.02,1.98,2.01,377633
AEC,20020725,.82,.82,.82,.82,1000
AEO,20020725,1.57,1.65,1.57,1.58,222802
AET,20020725,.87,.92,.87,.90,70750
AEX,20020725,.072,.079,.072,.079,85000
AFF,20020725,.285,.285,.285,.285,2608
AFI,20020725,3.10,3.13,3.10,3.11,393588
AFM,20020725,.03,.03,.03,.03,1052579
AGA,20020725,.005,.005,.005,.005,200000
AGG,20020725,8.18,8.50,8.18,8.30,18125
AGH,20020725,.78,.78,.75,.77,186165
AGI,20020725,.97,1.00,.96,.98,346430
AGL,20020725,9.67,9.72,9.60,9.60,1026979
AGLIMD,20020725,2.09,2.09,2.09,2.09,2000
AGLIPE,20020725,.16,.16,.16,.16,20000
AGLWGE,20020725,.125,.13,.115,.115,170714
AGM,20020725,.03,.038,.03,.038,857454
AGS,20020725,.046,.046,.046,.046,100000
AGT,20020725,.52,.52,.52,.52,2900
AGX,20020725,.325,.325,.32,.32,28000
AGY,20020725,.39,.425,.39,.405,218084
AGZ,20020725,.008,.008,.008,.008,32825
AHD,20020725,2.35,2.35,2.30,2.35,78430
AIA,20020725,3.70,3.70,3.70,3.70,16489
AIE,20020725,.15,.15,.13,.15,344014
AIP,20020725,1.06,1.07,1.06,1.07,1150455
AIX,20020725,1.34,1.34,1.32,1.34,251377
AIZ,20020725,.57,.58,.56,.58,406746
AJL,20020725,.82,.84,.80,.80,51184
ALK,20020725,.245,.25,.245,.25,82000
ALL,20020725,5.40,5.47,5.35,5.35,3126043
ALLIMF,20020725,1.82,1.82,1.82,1.82,35000
ALN,20020725,4.13,4.18,4.13,4.17,82165
ALR,20020725,1.09,1.14,1.09,1.14,4500
ALS,20020725,3.96,3.97,3.94,3.95,24604
ALU,20020725,1.35,1.35,1.23,1.25,88649
ALZ,20020725,1.46,1.48,1.45,1.45,1130567
AMC,20020725,8.34,8.34,8.12,8.22,2476017
AMCG,20020725,10.60,10.60,10.60,10.60,4000
AMCIMF,20020725,3.98,3.98,3.98,3.98,1000
AMCISE,20020725,2.50,2.60,2.50,2.60,26000
AMH,20020725,1.63,1.64,1.63,1.64,183599
AML,20020725,.49,.50,.49,.49,59000
AMM,20020725,.11,.125,.11,.115,1888750
AMMOA,20020725,.02,.025,.02,.025,166227
AMP,20020725,14.70,14.76,14.20,14.24,6308148
AMPIAA,20020725,3.62,3.62,3.62,3.62,1416
AMPIDH,20020725,1.45,1.57,1.45,1.57,20600
AMPIMC,20020725,3.76,3.76,3.63,3.63,2000
AMPIMD,20020725,1.65,1.65,1.55,1.55,11000
AMPIMG,20020725,.56,.56,.56,.56,10000
AMPIPD,20020725,.81,.81,.75,.75,16043
AMPIPE,20020725,.01,.01,.01,.01,4500
AMPISF,20020725,3.84,3.84,3.64,3.64,39950
AMPIWA,20020725,4.97,4.97,4.59,4.59,4000
AMPIWB,20020725,2.05,2.05,1.84,1.84,21000
AMPIZD,20020725,.78,.78,.74,.74,11000
AMPWCU,20020725,.63,.69,.63,.68,240000
AMPWGI,20020725,.005,.005,.004,.004,42000
AMPWGJ,20020725,.038,.038,.03,.03,190910
AMPWGU,20020725,.48,.48,.48,.48,8000
AMPWMN,20020725,.125,.125,.095,.095,20000
AMPWMW,20020725,.285,.35,.285,.35,107000
AMPWOJ,20020725,.035,.035,.019,.019,152500
AMPWOT,20020725,.435,.52,.435,.52,65963
AMPWPO,20020725,.14,.145,.095,.095,760000
AMPWPZ,20020725,.295,.345,.285,.345,53250
AMPWXG,20020725,.165,.165,.155,.155,60000
AMQHA,20020725,91.00,91.50,91.00,91.40,65023
AMS,20020725,.10,.10,.10,.10,50000
AMSOA,20020725,.009,.009,.009,.009,24505
AMU,20020725,.125,.125,.12,.12,70000
AMUOB,20020725,.025,.025,.025,.025,100000
AMZG,20020725,109.60,109.60,109.30,109.60,14600
AMZGA,20020725,109.40,109.95,109.40,109.90,17164
ANC,20020725,5.40,5.40,5.40,5.40,1833
ANE,20020725,2.10,2.10,2.08,2.08,16110
ANL,20020725,.21,.215,.21,.215,102900
ANM,20020725,.465,.47,.455,.47,38744
ANMCA,20020725,.26,.26,.255,.255,358000
ANMO,20020725,.09,.09,.09,.09,34000
ANN,20020725,6.50,6.65,6.50,6.61,333951
ANP,20020725,.115,.115,.115,.115,204000
ANPO,20020725,.072,.072,.071,.071,14770
ANTG,20020725,27.50,27.50,27.50,27.50,30
ANX,20020725,.24,.24,.24,.24,15000
ANZ,20020725,18.08,18.10,17.56,17.65,13153550
ANZIMC,20020725,8.62,8.62,8.60,8.60,2608
ANZIMD,20020725,3.38,3.38,3.10,3.12,13000
ANZIMF,20020725,8.16,8.16,8.16,8.16,1136
ANZIMU,20020725,1.46,1.46,1.46,1.46,10000
ANZIOA,20020725,6.70,6.70,6.70,6.70,115
ANZIOF,20020725,9.06,9.06,8.75,8.75,9227
ANZIOG,20020725,3.62,3.62,3.33,3.33,30000
ANZIPG,20020725,1.45,1.45,1.45,1.45,10000
ANZISD,20020725,2.24,2.24,2.00,2.00,10500
ANZIWB,20020725,4.85,4.85,4.56,4.56,3000
ANZIYB,20020725,9.00,9.00,8.83,8.83,550
ANZIZD,20020725,3.14,3.18,2.95,2.98,55230
ANZWCU,20020725,.29,.29,.275,.275,300000
ANZWGH,20020725,.033,.033,.033,.033,40000
ANZWGI,20020725,.17,.17,.16,.16,88000
ANZWMG,20020725,.073,.073,.073,.073,100000
ANZWMH,20020725,.155,.155,.125,.125,190000
ANZWMQ,20020725,.125,.165,.11,.16,497200
ANZWMS,20020725,.38,.475,.375,.465,188650
ANZWMT,20020725,.295,.34,.295,.34,70000
ANZWOD,20020725,.051,.051,.047,.047,57000
ANZWOF,20020725,.12,.12,.11,.11,80000
ANZWOR,20020725,.08,.12,.08,.12,681388
ANZWPM,20020725,.125,.125,.125,.125,28150
ANZWPX,20020725,.145,.20,.145,.20,280000
AOF,20020725,1.18,1.19,1.17,1.18,1650213
AOG,20020725,2.68,2.68,2.60,2.61,10744
AOGO,20020725,1.45,1.45,1.45,1.45,924
AOR,20020725,3.21,3.26,3.14,3.23,4287448
APA,20020725,2.39,2.41,2.37,2.41,137245
APCHA,20020725,97.50,97.98,97.50,97.98,750
APE,20020725,4.88,4.88,4.80,4.80,6000
APEO,20020725,.78,.78,.78,.78,2000
APG,20020725,.063,.063,.063,.063,120000
API,20020725,3.15,3.20,3.14,3.20,75612
APN,20020725,3.55,3.57,3.51,3.52,881118
APNG,20020725,4.05,4.06,4.05,4.06,27500
APY,20020725,.75,.75,.74,.74,22302
APZ,20020725,.06,.06,.06,.06,5000
AQA,20020725,.41,.41,.41,.41,16237
AQP,20020725,8.35,8.35,8.01,8.29,32167
AQT,20020725,.145,.15,.145,.15,243834
ARC,20020725,.063,.063,.063,.063,16000
ARG,20020725,4.20,4.34,4.20,4.29,74010
ARL,20020725,.27,.275,.265,.27,263431
ARP,20020725,13.39,13.39,12.70,12.70,2236
ARQ,20020725,.405,.415,.39,.40,518867
ART,20020725,1.36,1.37,1.35,1.35,3391611
ASB,20020725,1.22,1.26,1.20,1.20,40410
ASC,20020725,.355,.355,.31,.31,12960961
ASCOA,20020725,.19,.20,.16,.16,372204
ASCOB,20020725,.042,.042,.02,.02,1515000
ASL,20020725,.315,.315,.315,.315,4250
ASLPA,20020725,.29,.29,.29,.29,10000
ASX,20020725,12.88,12.99,12.60,12.60,1102058
ATC,20020725,.25,.275,.25,.26,517800
ATG,20020725,.33,.33,.33,.33,30000
ATI,20020725,.091,.091,.09,.09,20000
ATN,20020725,.013,.013,.011,.011,580000
ATP,20020725,.44,.46,.44,.46,45220
ATY,20020725,.087,.087,.075,.075,120000
AUD,20020725,2.11,2.11,2.10,2.11,2431432
AUG,20020725,.17,.17,.165,.165,29000
AUH,20020725,.038,.038,.038,.038,10000
AUL,20020725,.011,.011,.011,.011,1035500
AUM,20020725,.055,.055,.052,.052,366000
AUMO,20020725,.008,.008,.008,.008,200000
AUN,20020725,.17,.185,.17,.18,1031064
AUO,20020725,.56,.56,.54,.56,347905
AUR,20020725,.05,.05,.048,.048,65000
AUY,20020725,.09,.09,.09,.09,536324
AVA,20020725,.027,.029,.027,.029,296430
AVJ,20020725,.95,.98,.94,.94,13000
AVL,20020725,.14,.145,.14,.14,843000
AVN,20020725,.012,.012,.012,.012,4936
AVO,20020725,.15,.155,.15,.155,58250
AVR,20020725,.235,.235,.235,.235,40896
AWB,20020725,3.57,3.57,3.52,3.53,618229
AWE,20020725,.69,.69,.68,.68,170830
AWL,20020725,.043,.043,.04,.04,194613
AXA,20020725,2.44,2.62,2.44,2.50,4301290
AXN,20020725,.29,.29,.28,.29,212380
AXSMGE,20020725,.74,.74,.74,.74,10000
AXUWGE,20020725,.195,.20,.19,.19,260000
AXUWMU,20020725,.20,.20,.20,.20,4200
AYO,20020725,.54,.54,.53,.54,103366
AYOOA,20020725,.155,.155,.155,.155,179000
AZR,20020725,.047,.047,.041,.041,171800
BAR,20020725,.31,.315,.31,.315,8000
BBG,20020725,7.50,7.85,7.50,7.65,1161687
BBL,20020725,.10,.10,.10,.10,5000
BCA,20020725,3.69,3.70,3.58,3.64,402734
BCH,20020725,.05,.05,.05,.05,188000
BDG,20020725,.285,.295,.285,.285,1489104
BDS,20020725,1.74,1.74,1.74,1.74,6333
BEN,20020725,6.78,6.89,6.78,6.82,102987
BENGA,20020725,6.75,6.75,6.75,6.75,3200
BER,20020725,.475,.475,.475,.475,1400
BFLHA,20020725,90.30,90.30,90.20,90.30,175
BGD,20020725,.07,.07,.07,.07,20000
BGN,20020725,.40,.42,.40,.42,62137
BHP,20020725,9.59,9.63,9.35,9.35,26279872
BHPIAA,20020725,3.88,3.88,3.88,3.88,2832
BHPIDH,20020725,1.64,1.64,1.61,1.61,20000
