AAU,20021022,1.01,1.01,1.01,1.01,2000
ABB,20021022,2.53,2.53,2.52,2.52,9582
ABC,20021022,1.03,1.06,1.02,1.02,292197
ABG,20021022,2.06,2.10,2.06,2.10,16310
ABI,20021022,1.13,1.14,1.11,1.14,141300
ABS,20021022,13.20,13.20,12.95,12.95,14990
ABX,20021022,.38,.38,.38,.38,1000
ACDHB,20021022,103.45,103.45,103.45,103.45,50
ACE,20021022,.043,.055,.043,.055,101500
ACU,20021022,.15,.15,.14,.14,26000
ADA,20021022,.62,.63,.60,.60,51000
ADB,20021022,7.34,7.40,7.26,7.26,37103
ADBHA,20021022,104.50,106.90,104.50,106.90,135
ADBHB,20021022,84.00,84.50,84.00,84.50,190
ADG,20021022,2.70,2.70,2.63,2.63,12793
ADM,20021022,.047,.047,.045,.045,356863
ADMO,20021022,.003,.003,.002,.002,847803
ADP,20021022,2.62,2.62,2.59,2.61,1350486
ADX,20021022,.35,.35,.35,.35,25000
ADXOA,20021022,.18,.18,.18,.18,11000
ADZ,20021022,2.05,2.09,2.05,2.08,453530
AEC,20021022,.84,.86,.84,.86,10350
AEI,20021022,.20,.20,.20,.20,13540
AEN,20021022,.14,.15,.14,.15,85000
AEO,20021022,1.56,1.62,1.55,1.58,274572
AES,20021022,.25,.25,.25,.25,48000
AET,20021022,.91,.91,.90,.90,10800
AEX,20021022,.036,.036,.036,.036,25000
AFC,20021022,.52,.52,.50,.50,55000
AFI,20021022,3.11,3.13,3.11,3.12,259700
AFM,20021022,.021,.021,.021,.021,53000
AGG,20021022,8.75,8.75,8.55,8.55,317220
AGH,20021022,.70,.70,.68,.68,15785
AGI,20021022,.92,.92,.92,.92,9200
AGL,20021022,10.09,10.10,9.98,9.99,1576850
AGLIPA,20021022,3.56,3.56,3.56,3.56,1300
AGLIPD,20021022,2.12,2.12,2.12,2.12,5000
AGLIZD,20021022,1.88,1.88,1.88,1.88,8000
AGM,20021022,.036,.038,.036,.037,420000
AGX,20021022,.30,.30,.285,.30,157937
AGY,20021022,.115,.115,.115,.115,16087
AGZ,20021022,.008,.008,.008,.008,865303
AHD,20021022,2.61,2.62,2.60,2.60,166065
AIE,20021022,.15,.15,.15,.15,2000
AIP,20021022,1.12,1.13,1.12,1.12,268876
AIX,20021022,1.38,1.40,1.35,1.35,205248
AIZ,20021022,.445,.455,.445,.455,300549
AJL,20021022,1.16,1.17,1.15,1.17,72470
ALK,20021022,.21,.21,.21,.21,42480
ALL,20021022,4.62,4.65,4.50,4.56,596402
ALN,20021022,4.19,4.24,4.16,4.24,123808
ALS,20021022,3.91,3.99,3.90,3.90,9000
ALT,20021022,.031,.031,.013,.014,15706
ALZ,20021022,1.36,1.37,1.35,1.36,109039
AMC,20021022,8.25,8.28,7.89,7.93,3023748
AMCG,20021022,10.45,10.45,10.37,10.37,41586
AMCIMF,20021022,3.58,3.58,3.58,3.58,1000
AMCIPC,20021022,1.73,1.73,1.55,1.55,6500
AMCISE,20021022,2.18,2.26,2.15,2.15,12500
AMCIZA,20021022,5.24,5.24,5.24,5.24,1000
AMG,20021022,.07,.07,.07,.07,3000
AMH,20021022,1.69,1.69,1.67,1.68,30812
AML,20021022,.39,.39,.39,.39,3300
AMM,20021022,.096,.096,.096,.096,150000
AMMOA,20021022,.014,.014,.013,.013,197500
AMP,20021022,12.77,12.95,12.73,12.87,4064326
AMPIAA,20021022,2.19,2.19,2.19,2.19,2000
AMPIDA,20021022,3.63,3.63,3.63,3.63,2750
AMPIGC,20021022,6.77,6.77,6.77,6.77,1000
AMPIMC,20021022,2.13,2.20,2.13,2.20,86000
AMPIMD,20021022,.96,.96,.96,.96,15000
AMPIPF,20021022,3.64,3.73,3.64,3.73,120000
AMPISS,20021022,1.21,1.21,1.21,1.21,10000
AMPIWA,20021022,3.30,3.30,3.30,3.30,1000
AMPIZA,20021022,2.87,2.87,2.87,2.87,1500
AMPIZB,20021022,4.73,4.86,4.73,4.86,5000
AMPWGK,20021022,.013,.013,.012,.012,160000
AMPWGL,20021022,.30,.30,.30,.30,52000
AMPWGV,20021022,.25,.25,.225,.225,413000
AMPWMA,20021022,.265,.27,.265,.27,430000
AMPWMO,20021022,.084,.09,.084,.085,456000
AMPWOT,20021022,.155,.155,.155,.155,25000
AMPWPA,20021022,.18,.18,.18,.18,54000
AMPWPP,20021022,.205,.205,.19,.19,15700
AMQHA,20021022,87.50,87.50,87.00,87.25,7334
AMU,20021022,.098,.098,.096,.097,99000
AMZG,20021022,108.95,108.96,108.57,108.60,3074
AMZGA,20021022,110.30,110.30,109.15,109.15,1053
ANC,20021022,5.69,5.69,5.69,5.69,500
ANL,20021022,.21,.22,.21,.215,127291
ANM,20021022,.51,.52,.51,.52,143695
ANMCA,20021022,.26,.26,.25,.25,583402
ANMO,20021022,.10,.10,.10,.10,117820
ANN,20021022,6.80,6.80,6.78,6.80,649082
ANP,20021022,.10,.10,.10,.10,19090
ANTG,20021022,20.00,21.40,20.00,21.40,379
ANX,20021022,.20,.21,.195,.20,249000
ANZ,20021022,18.00,18.07,17.90,17.90,4549771
ANZIGG,20021022,3.13,3.24,3.12,3.12,22100
ANZIGI,20021022,.72,.72,.72,.72,3000
ANZIMC,20021022,8.50,8.50,8.46,8.46,12800
ANZIMD,20021022,2.81,2.89,2.81,2.83,52270
ANZIMU,20021022,.74,.74,.73,.73,5890
ANZIMV,20021022,2.25,2.25,2.22,2.22,30000
ANZIOF,20021022,8.90,9.00,8.90,9.00,4250
ANZIPG,20021022,.99,.99,.99,.99,4000
ANZISG,20021022,9.07,9.07,9.07,9.07,330
ANZIWB,20021022,4.55,4.55,4.55,4.55,1000
ANZIZD,20021022,2.80,2.88,2.80,2.80,53900
ANZIZG,20021022,8.62,8.62,8.62,8.62,1000
ANZWGI,20021022,.044,.048,.037,.037,490000
ANZWGU,20021022,.09,.09,.09,.09,100000
ANZWMH,20021022,.048,.048,.044,.044,210000
ANZWMK,20021022,.215,.225,.215,.225,150000
ANZWMT,20021022,.15,.15,.125,.14,770000
ANZWMU,20021022,.165,.17,.155,.17,199700
ANZWOG,20021022,.145,.16,.14,.145,555000
AOE,20021022,.16,.16,.16,.16,2000
AOF,20021022,1.19,1.19,1.18,1.18,635419
AOR,20021022,2.77,2.78,2.75,2.76,3631868
APA,20021022,2.55,2.57,2.55,2.56,72407
APCHA,20021022,103.10,103.44,103.10,103.44,220
API,20021022,2.88,2.88,2.86,2.86,37078
APN,20021022,2.95,2.95,2.93,2.93,697756
APNG,20021022,3.88,3.88,3.88,3.88,14050
AQP,20021022,8.95,8.95,8.80,8.80,119225
ARA,20021022,.20,.20,.20,.20,3699
ARC,20021022,.048,.048,.048,.048,23850
ARG,20021022,4.25,4.39,4.25,4.39,29892
ARL,20021022,.23,.23,.225,.225,81440
ARO,20021022,.053,.053,.052,.052,21868
ARPDA,20021022,2.75,2.75,2.71,2.71,19056
ARQ,20021022,.40,.415,.40,.415,686948
ART,20021022,1.44,1.44,1.42,1.43,6320913
ARX,20021022,.017,.017,.017,.017,11000
ASB,20021022,1.24,1.25,1.22,1.22,96088
ASL,20021022,.36,.37,.36,.365,78729
ASO,20021022,.081,.081,.08,.08,50000
ASP,20021022,.045,.045,.045,.045,9100
ASX,20021022,11.52,11.60,11.42,11.49,168291
ATC,20021022,.195,.20,.195,.195,209047
ATG,20021022,.485,.485,.48,.485,42240
ATN,20021022,.009,.009,.009,.009,619650
ATP,20021022,.36,.38,.355,.37,100165
ATX,20021022,.12,.12,.12,.12,66600
AUG,20021022,.18,.18,.18,.18,32240
AUH,20021022,.068,.068,.061,.061,4788
AUI,20021022,3.92,3.92,3.92,3.92,1375
