Company Name,ASX code,Date Delisted*,Reason
AAT CORPORATION LIMITED,AAT,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
AUSMANI LIMITED,ABF,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
AED OIL LIMITED,AED,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
ADVANCED ENERGY SYSTEMS LIMITED,AES,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
AIR CHANGE INTERNATIONAL LIMITED,AHJ,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
AUSTRALIAN ZIRCON NL,AZC,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
BRISCONNECTIONS UNIT TRUSTS,BCS,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned Trust was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
BEAUTY HEALTH GROUP LIMITED,BHG,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
BOUNTY MINING LTD,BNT,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
CB AUSTRALIA LIMITED,CBK,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
COMPUTRONICS HOLDINGS LIMITED,CPS,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
FITGENES LIMITED,FIT,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
GRG INTERNATIONAL LTD,GRG,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
IDM INTERNATIONAL LTD,IDM,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
INDOPAC HOLDINGS LIMITED,IDP,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
INDIGO PROPERTIES AUSTRALIA LIMITED,IPA,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
LAND AND MINERAL EXPLORATION LIMITED,LDM,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
LEMARNE CORPORATION LIMITED,LMC,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
MORNING STAR GOLD N.L.,MCO,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
METROLAND AUSTRALIA LIMITED,MTD,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
PLENTEX LIMITED,PRM,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
RIVERCITY MOTORWAY GROUP,RCY,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned group was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
REELTIME MEDIA LIMITED,RMA,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
SOLAGRAN LIMITED,SLA,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
SOFCOM LIMITED,SOF,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
TELESSO TECHNOLOGIES LIMITED,TEO,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
XIAOXIAO EDUCATION LIMITED,XXL,4/01/2016,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12 and Guidance Note 33."
PHOENIX GOLD LIMITED,PXG,6/01/2016,"As from the close of trading on Wednesday, 6 January 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
ENDEAVOUR MINING CORPORATION,EVR,11/01/2016,"As from the close of trading on Monday, 11 January 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
MOOTER MEDIA LIMITED,MMZ,5/02/2016,"As from the start of trading on Friday, 5 February 2016, the abovementioned company was removed from the Official List pursuant to Listing rule 17.12."
IPROPERTY GROUP LIMITED,IPP,17/02/2016,"As from the close of trading on Wednesday, 17 February 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
CRUSADE EURO TRUST NO. 1E OF 2006,CTK,18/02/2016,"As from the close of trading on Wednesday, 17 February 2016, the abovementioned trust was removed from the Official List pursuant to Listing rule 17.11."
M2 GROUP LTD,MTU,23/02/2016,"As from the close of trading today (Tuesday, 23 February 2016) the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
OCTAGONAL RESOURCES LIMITED,ORS,23/02/2016,"As from the close of trading today [Tuesday, 23 February 2016] the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
COFFEY INTERNATIONAL LIMITED,COF,26/02/2016,"As from the close of trading on Friday, 26 February 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
SERIES 2007-1 TORRENS TRUST,TRQ,26/02/2016,"As from the close of trading on Friday, 26 February 2016, the abovementioned trust will be removed from the Official List pursuant to Listing rule 17.11."
VEDA GROUP LIMITED,VED,26/02/2016,"As from the close of trading on Friday, 26 February 2016, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
