Company Name,ASX code,Date Delisted*,Reason
COMMSTRAT LIMITED,COJ,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
DIRECT NICKEL LIMITED,DIR,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
DISCOVERY METALS LIMITED,DML,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
IFS CONSTRUCTION SERVICES LTD,IFS,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
KUPANG RESOURCES LTD,KPR,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
LEMUR RESOURCES LIMITED,LMR,1/09/2015,"As from the close of trading on Tuesday, 1 September 2015 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
MBD CORPORATION LIMITED,MBD,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
NORSEMAN GOLD PLC,NGX,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
NORTHWEST RESOURCES LIMITED,NWR,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
NEWSAT LIMITED,NWT,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
OGL RESOURCES LIMITED,OGL,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
PLATINUM AUSTRALIA LIMITED,PLA,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
SABINA CORPORATION LIMITED,SAP,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
SINO STRATEGIC INTERNATIONAL LIMITED,SSI,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
TIARO COAL LIMITED,TCM,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
TWT GROUP LIMITED,TWT,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
WESTERN DESERT RESOURCES LIMITED,WDR,1/09/2015,"As from the close of trading on Monday, 31 August 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.15."
BELLA TRUST SERIES 2011-3,BNJ,3/09/2015,"As from the close of trading on Wednesday, 2 September 2015 the abovementioned trust was removed from the Official List pursuant to Listing rule 17.11."
IINET LIMITED,IIN,11/09/2015,"As from the close of trading on Friday, 11 September 2015 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
ECOSAVE HOLDINGS LIMITED,ECV,16/09/2015,"As from the close of trading on Wednesday, 16 September 2015, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
MULTIPLEX EUROPEAN PROPERTY FUND,MUE,17/09/2015,"As from the close of trading on Thursday, 17 September 2015 the abovementioned fund will be removed from the Official List pursuant to Listing rule 17.11."
BLACK RANGE MINERALS LIMITED,BLR,18/09/2015,"As from the close of trading on Friday, 18 September 2015 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
PUMA MASTERFUND S-4,PUA,23/09/2015,"As from the close of trading on Tuesday, 22 September 2015, the abovementioned trust was removed from the Official List pursuant to Listing rule 17.11"
SIRIUS RESOURCES NL,SIR,23/09/2015,"As from the close of trading on Wednesday, 23 September 2015, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
PUMA MASTERFUND S-7,PUS,13/10/2015,"As from the close of trading on Monday, 12 October 2015, the abovementioned Trust was removed from the Official List pursuant to Listing rule 17.11."
SCANTECH LIMITED,SCD,19/10/2015,"As from the close of trading today, Monday 19 October 2015 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
SKILLED GROUP LIMITED,SKE,19/10/2015,"As from the close of trading today, Monday 19 October 2015 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
ENERGY DEVELOPMENTS LIMITED,ENE,23/10/2015,"As from the close of trading on Friday, 23rd October 2015 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
JOHN SHEARER (HOLDINGS) LIMITED,SHR,28/10/2015,"As from the close of trading on Wednesday, 28 October 2015 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
ANATOLIA ENERGY LIMITED,AEK,11/11/2015,"As from the close of trading on Wednesday, 11 November 2015, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
SERIES 2006-1(E) TORRENS TRUST,TRX,20/11/2015,"As from the close of trading on Thursday, 19 November 2015, the abovementioned trust was removed from the Official List pursuant to Listing rule 17.11."
FIRSTMAC BOND SERIES 1C-2006 TRUST,FMN,27/11/2015,"As from the close of trading on Thursday, 26 November 2015 the abovementioned trust was removed from the Official List pursuant to Listing rule 17.11."
AUSTRALIAN INDUSTRIAL REIT,ANI,3/12/2015,"As from the close of trading on Wednesday, 2 December 2015 the abovementioned Trust was removed from the Official List pursuant to Listing rule 17.14."
AFFINITY EDUCATION GROUP LIMITED,AFJ,15/12/2015,"As from the close of trading on Tuesday, 15 December 2015 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
VISION EYE INSTITUTE LIMITED,VEI,16/12/2015,"As from the close of trading on Tuesday, 15 December 2015 the abovementioned company was removed from the Official List pursuant to Listing rule 17.14."
LION SERIES 2007-1 TRUST,LNS,17/12/2015,"As from the close of trading on Wednesday, 16 December 2015 the abovementioned trust was removed from the Official List pursuant to Listing rule 17.11."
TREYO LEISURE AND ENTERTAINMENT LIMITED,TYO,22/12/2015,"As from the close of trading on Tuesday, 22 December 2015 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
ASCOT RESOURCES LIMITED,AZQ,24/12/2015,"As from the close of trading on Thursday, 24 December 2015 the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11."
ATHERTON RESOURCES LTD,ATE,30/12/2015,"As from the close of trading on Wednesday, 30 December 2015, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.14."
CALIBRE GROUP LIMITED,CGH,31/12/2015,"As from the close of trading on Thursday, 31 December 2015, the abovementioned company will be removed from the Official List pursuant to Listing rule 17.11"
