14-Jul,MRS ,Monarch Resources Limited ,MON ,Monarch Gold Mining Company Limited
14-Jul,SEE ,Sun Capital Group Limited ,MUT ,Multi Channel Solutions Limited
12-Jul,TGD ,TasGold Ltd ,FNT ,Frontier Resources Limited
11-Jul,PPC ,Peet and Company Limited ,PPC ,Peet Limited
7-Jul,NMC ,Nustar Mining Corporation Limited ,IAU ,Intrepid Mines Limited
3-Jul,RCD ,Record Investments Limited,AFG ,Allco Finance Group Limited
3-Jul,ARZ ,Amerod Resources Limited ,WEC ,White Energy Company Limited
30-Jun,KIA ,Knights Insolvency Administration Limited ,REO ,Reco Financial Services Ltd
29-Jun,PMH ,Pacific Magnesium Corporation Limited ,PMH ,Pacmag Metals Limited
27-Jun,ITC ,Impress Ventures Limited ,ITC ,Impress Energy Limited
27-Jun,GWE ,Great Western Exploration Limited ,URA ,Uran Limited
22-Jun,IMP ,Imperial One Limited,IMP ,Imperial Corporation Limited
20-Jun,ATP ,Atlas Pacific Limited,ATP,Atlas South Sea Pearl Limited
16-Jun,EKA ,Eureka Mines Limited ,EKA,Eureka Energy Limited
15-Jun,MXO ,Matrix Oil NL ,EMR ,Emerald Oil & Gas NL
13-Jun,SXO ,Saxon Investment Group Limited ,OBL ,Oil Basins Limited
8-Jun,SHN ,Sherlock Bay Nickel Corporation Limited ,ARH ,Australasian Resources Limited
31-May,BLV ,Bligh Ventures Limited ,VOL ,Volant Petroleum Limited
24-May,PAD ,Plantard Limited ,FIC ,First Capital Group Limited
23-May,MMX ,Murchison Metals Limited,MMX,Murchison Metals Ltd
22-May,CFK ,Childs Family Kindergartens Limited ,CFK ,CFK Childcare Centres Limited
17-May,BLN ,Bullion Minerals Limited ,UEQ ,Uranium Equities Limited
16-May,GAN,CFS Gandel Retail Trust,CFX,CFS Retail Property Trust
5-May,AXD ,Alexander Resources Limited ,CGT ,Castlemaine Goldfields Limited
3-May,KFW ,KFW International Finance Inc,KFW ,KFW 
28-Apr,NHE ,New Horizon Energy Limited ,GLX,Gulfx Ltd
26-Apr,CSY ,CMC Power Systems Limited,AFA ,ASF Group Limited
19-Apr,CSG ,Commsoft Group Limited,MWS ,MDSnews Limited
3-Apr,MFT,MFS Diversified Trust,MFT,MFS Diversified Group
3-Apr,AVJ ,AVJennings Homes Limited,AVJ ,AVJennings Limited
30-Mar,AGO,Atlas Gold Limited,AGO,Atlas Iron Limited
29-Mar,FLO,Flowcom Limited,RMA,ReelTime Media Limited
16-Mar,CRP,Cryptome Pharmaceuticals Ltd,HTX,HealthLinx Limited
10-Mar,AKD,AKD Ltd,IDO,Indo Mines Limited
9-Mar,HTL,Hudson Timber Products Limited,BPK,Bremer Park Limited
1-Mar,EPT,Epitan Limited,CUV,Clinuvel Pharmaceuticals Limited
27-Feb,RCI,Rocklands Richfield PCI Limited,RCI,Rocklands Richfield Limited
24-Feb,PMH,Pacific Magnesium Corporation Limited,PMH,Pacific Magnesium Corporation Ltd
23-Feb,GYM,Gympie Gold Limited,TDR,Toodyay Resources Ltd
21-Feb,SSN,Samson Oil & Gas NL,SSN,Samson Oil & Gas Limited
6-Feb,FPF,Flexi Property Fund,EPF,Esplanade Property Fund
31-Jan,CKS,Cordukes Limited,THO,Thomas & Coffey Limited
27-Jan,CLB,Creatable Media Limited,MKY,McKinley Company Limited
25-Jan,FSL,Fast Scout Limited,SRK,Strike Resources Limited
25-Jan,LDR,Lach Drummond Resources Limited,AOI,Alto Energy International Limited
24-Jan,KBO,Kimberley Oil NL,EPG,European Gas Limited
23-Jan,SBM,St Barbara Mines Limited,SBM,St Barbara Limited
23-Jan,SSH,S.S.H. Medical Limited,BLS,BioLayer Corporation Limited
20-Jan,PPT,Perpetual Trustees Australia Limited,PPT,Perpetual Limited
19-Jan,RFI,Resource Finance and Investments Limited,BSM,Bass Metals Ltd
18-Jan,SXC,Securix Corporation Limited,VIP,Voltage IP Limited
6-Jan,RGA,Regenera Limited,AOS,Advanced Ocular Systems Limited
3-Jan,NVC,Novacoat Holdings Limited,PDO,Paladio Group Limited
