ADXO,20050422,.06,.06,.06,.06,100000
AEIO,20050422,.255,.255,.24,.25,243895
AGOO,20050422,.1,.1,.1,.1,55000
AHGOC,20050422,.011,.011,.01,.01,200000
AMGO,20050422,.005,.005,.005,.005,88500
AMHO,20050422,.04,.048,.04,.048,30600
ANPO,20050422,.015,.015,.015,.015,10000
ARUO,20050422,.1,.1,.1,.1,15000
ASCO,20050422,.003,.004,.002,.002,2178775
BGDOA,20050422,.064,.07,.064,.07,180281
BGFO,20050422,.077,.077,.077,.077,310000
BTCOA,20050422,.032,.032,.032,.032,10000
CGMO,20050422,.01,.01,.01,.01,1866
CMQO,20050422,.08,.08,.08,.08,5220
CPCO,20050422,.15,.15,.145,.145,120000
CQTO,20050422,.046,.046,.045,.045,165300
CTFO,20050422,.11,.11,.11,.11,18000
DVCO,20050422,1.04,1.05,1.04,1.05,7400
EBRO,20050422,.033,.035,.026,.026,1095476
EBROA,20050422,.035,.035,.031,.031,419474
ELLO,20050422,.021,.021,.021,.021,19040
EPEO,20050422,.042,.042,.04,.04,388000
EQXO,20050422,.043,.043,.041,.041,33333
ETWOC,20050422,.06,.06,.051,.051,2400
FCNO,20050422,.245,.245,.245,.245,10000
FXRO,20050422,.365,.37,.34,.35,252800
GAUO,20050422,.028,.028,.028,.028,5000
GDNO,20050422,.014,.017,.014,.017,750000
GMIO,20050422,.12,.12,.12,.12,10275
GOPO,20050422,.052,.052,.052,.052,35000
GWEO,20050422,.08,.08,.08,.08,50000
HGOOA,20050422,.05,.056,.05,.056,190000
HHVO,20050422,.062,.062,.06,.06,199000
IMAO,20050422,.125,.125,.125,.125,115000
IMIOA,20050422,.009,.009,.009,.009,400000
ISSO,20050422,.03,.03,.03,.03,50000
KIMOA,20050422,.81,.82,.81,.81,323500
LRFO,20050422,.024,.029,.024,.029,90000
MARO,20050422,.035,.035,.035,.035,44000
MFSOA,20050422,.02,.02,.02,.02,10000
MGXO,20050422,.445,.46,.44,.44,120100
MLMO,20050422,.085,.085,.084,.085,55000
MMAO,20050422,.003,.004,.003,.004,148000
MMNO,20050422,.07,.07,.07,.07,18000
MMNOA,20050422,.032,.032,.027,.03,236322
MOGOA,20050422,.09,.09,.09,.09,10000
MOSO,20050422,.03,.03,.03,.03,140625
MPDO,20050422,.017,.017,.017,.017,43533
MRYO,20050422,.004,.004,.004,.004,100000
MSCO,20050422,.033,.039,.033,.033,51979
MTOO,20050422,.19,.19,.19,.19,25000
NDOO,20050422,.05,.054,.05,.054,335733
NEOO,20050422,.027,.027,.027,.027,328018
NGMO,20050422,.025,.025,.025,.025,185000
NHCO,20050422,.61,.61,.61,.61,522
NMSO,20050422,.72,.75,.71,.75,30500
NWRO,20050422,.16,.16,.16,.16,12500
NZOOA,20050422,.28,.28,.28,.28,31000
OELO,20050422,.073,.073,.073,.073,30000
ORCO,20050422,.11,.11,.105,.105,51555
ORPO,20050422,.01,.01,.01,.01,300000
ORTOA,20050422,.01,.01,.01,.01,24577
PAAOA,20050422,.038,.04,.038,.04,35000
PBIO,20050422,.12,.12,.11,.11,215000
PGLO,20050422,.75,.85,.75,.75,29534
PMAOB,20050422,.003,.005,.003,.005,2717495
PMHO,20050422,.001,.001,.001,.001,933000
PNOO,20050422,.019,.019,.019,.019,100000
PPYO,20050422,.048,.048,.048,.048,25000
PRRO,20050422,.025,.025,.025,.025,150000
QRSOA,20050422,.005,.005,.005,.005,40000
RGAO,20050422,.1,.1,.1,.1,25000
RMIO,20050422,.022,.023,.02,.02,753700
RRSO,20050422,.006,.006,.006,.006,365944
RRTO,20050422,.025,.025,.025,.025,30249
RSGO,20050422,.44,.44,.425,.43,26043
RTMO,20050422,.04,.042,.037,.037,6738145
SAUO,20050422,.039,.044,.039,.041,182500
SBPOA,20050422,.018,.018,.018,.018,28000
SELO,20050422,.55,.55,.48,.48,100000
SENOA,20050422,.225,.225,.21,.21,50077
SIBO,20050422,.02,.023,.02,.023,229700
SMLOB,20050422,.036,.036,.036,.036,100000
SMNO,20050422,.035,.035,.035,.035,9986
SOEO,20050422,.12,.12,.12,.12,29305
SOTO,20050422,1.6,1.6,1.6,1.6,700
SYPO,20050422,.021,.021,.021,.021,25000
TASO,20050422,.062,.062,.06,.06,35000
TGSOA,20050422,.11,.11,.105,.11,255000
TNCOA,20050422,.065,.075,.065,.075,80000
URLO,20050422,.004,.004,.004,.004,95000
VCNO,20050422,.04,.04,.04,.04,4146
VOYO,20050422,.06,.06,.06,.06,166667
VRIOB,20050422,.03,.03,.03,.03,10240
WAMO,20050422,.002,.002,.002,.002,200000
WASO,20050422,.017,.017,.017,.017,161250
WILOA,20050422,.011,.011,.011,.011,12800
WLSO,20050422,.001,.001,.001,.001,170000
WTEO,20050422,.01,.01,.01,.01,410000
