1AD,20200310,.07,.087,.07,.079,105747
1AG,20200310,.035,.035,.035,.035,70000
1ST,20200310,.036,.036,.033,.035,644772
2BE,20200310,.105,.11,.1,.1,60106
360,20200310,2.5,2.5,2.29,2.4,413918
3DA,20200310,.14,.16,.14,.145,459857
3DP,20200310,.026,.031,.025,.03,2202392
3PL,20200310,.71,.71,.705,.71,21730
4DS,20200310,.042,.046,.037,.043,4496264
5GN,20200310,.615,.715,.595,.7,667046
88E,20200310,.016,.017,.015,.016,20255209
8CO,20200310,.06,.064,.052,.064,225724
8EC,20200310,.08,.08,.079,.08,215041
8IH,20200310,.09,.1,.08,.1,89500
8VI,20200310,.36,.36,.36,.36,10000
9SP,20200310,.015,.017,.015,.017,4505121
A1G,20200310,.075,.075,.075,.075,107000
A200,20200310,95,100.07,93.29,100.07,150301
A2B,20200310,1.04,1.04,1,1,165951
A2M,20200310,15,16.04,14.53,16.04,8397509
A2MKCE,20200310,3.18,3.2,3.18,3.2,5000
A2MKOA,20200310,5.2,5.84,5,5.84,21400
A2MKOC,20200310,7.02,7.15,7.02,7.15,2722
A2MKOR,20200310,5.8,5.8,4.9,4.9,11100
A2MKOT,20200310,6,6,6,6,100
A3D,20200310,.155,.16,.145,.15,284107
A4N,20200310,.16,.18,.155,.18,924785
AAA,20200310,50.08,50.09,50.08,50.08,563240
AAC,20200310,1.1,1.155,1.07,1.14,1307361
ABA,20200310,5.1,5.26,4.85,5.26,49725
ABC,20200310,2.6,2.73,2.53,2.72,4489613
ABP,20200310,3.38,3.41,3.32,3.4,1215685
ABR,20200310,.305,.32,.28,.32,2858097
ABV,20200310,.023,.025,.023,.025,71670
ABX,20200310,.085,.086,.085,.085,53492
AC8,20200310,.195,.215,.18,.21,1870057
ACB,20200310,.006,.006,.006,.006,21772
ACDC,20200310,47.6,48.86,46.61,48.86,1330
ACF,20200310,.27,.29,.23,.29,596540
ACQ,20200310,1.01,1.07,1,1.07,147676
ACR,20200310,.145,.145,.13,.135,351369
ACU,20200310,.11,.11,.085,.085,68219
ACW,20200310,.021,.022,.02,.022,6357082
AD1,20200310,.013,.013,.011,.013,484890
AD8,20200310,5.89,6.15,5.7,5.9,627982
ADA,20200310,.42,.53,.42,.47,138143
ADD,20200310,.029,.029,.029,.029,20000
ADH,20200310,1.59,1.765,1.585,1.715,2681274
ADI,20200310,2.82,2.92,2.79,2.9,692109
ADJ,20200310,.015,.016,.015,.016,150000
