ACSO,20060720,.049,.05,.049,.05,60000
AEXO,20060720,.022,.022,.018,.019,3350000
ALDO,20060720,.2,.2,.2,.2,33000
AMHO,20060720,.095,.11,.095,.11,50000
ANPO,20060720,.002,.002,.002,.002,20000
AOCO,20060720,.025,.025,.025,.025,100000
AOEO,20060720,.042,.045,.04,.045,458200
AQDO,20060720,.063,.063,.061,.061,30000
ARUO,20060720,.22,.22,.22,.22,9950
AXOO,20060720,.38,.38,.36,.36,20000
AXQO,20060720,.006,.006,.006,.006,120000
AZAO,20060720,.155,.2,.135,.135,338901
AZRO,20060720,.02,.03,.02,.03,6165566
BGDOB,20060720,.28,.28,.25,.25,103100
BIXO,20060720,.06,.06,.06,.06,10000
BLRO,20060720,.055,.055,.055,.055,140000
BLTO,20060720,.012,.012,.012,.012,15366
BOWO,20060720,.1,.1,.09,.09,1312
BPOOA,20060720,.002,.002,.002,.002,1633333
BPTOB,20060720,.64,.65,.635,.65,279644
BTCOA,20060720,.003,.003,.003,.003,5000
BTVOC,20060720,.021,.024,.021,.024,520000
CASO,20060720,.04,.04,.04,.04,100000
CCIO,20060720,.001,.001,.001,.001,3500000
CDUO,20060720,2.24,3.5,2.24,3.48,354702
CDUOA,20060720,1.26,2.6,1.26,2.6,726497
CFEO,20060720,.24,.24,.24,.24,2500
CGMO,20060720,.17,.18,.17,.18,207650
CMXO,20060720,.24,.24,.24,.24,500
CNFO,20060720,.02,.02,.02,.02,114335
CQTO,20060720,.12,.135,.11,.135,6006557
CRKO,20060720,.98,1.005,.98,1,117500
CTPO,20060720,.035,.035,.035,.035,500000
CXMO,20060720,.06,.06,.06,.06,145000
DIAO,20060720,.017,.017,.015,.015,800000
DMAO,20060720,.075,.075,.075,.075,50000
ELIO,20060720,.18,.18,.18,.18,5000
EMRO,20060720,.036,.036,.036,.036,17273
EQIO,20060720,.32,.33,.3,.3,15382
EXSO,20060720,.077,.085,.077,.084,234391
FATO,20060720,.078,.078,.077,.077,79650
FDLOA,20060720,.006,.006,.006,.006,650000
FNTO,20060720,.05,.07,.05,.051,1796900
FXROA,20060720,.325,.35,.325,.35,331500
GAUOA,20060720,.09,.09,.09,.09,10000
GBEO,20060720,.36,.36,.33,.33,4000
GBLOA,20060720,.019,.019,.019,.019,100000
GCRO,20060720,.011,.015,.011,.015,548373
GEDO,20060720,.005,.005,.005,.005,250000
GGPO,20060720,.095,.095,.095,.095,55000
GMIO,20060720,.375,.38,.375,.375,282700
GNLOB,20060720,.02,.02,.02,.02,499902
GSEO,20060720,.015,.015,.015,.015,380000
GWRO,20060720,.875,.9,.875,.9,98107
HDGO,20060720,.08,.08,.075,.075,10000
HEGOA,20060720,.05,.055,.05,.055,143282
HHVO,20060720,.061,.061,.061,.061,132538
HLSO,20060720,.007,.007,.005,.005,1042968
IMAO,20060720,.235,.24,.22,.235,90000
IPAO,20060720,.012,.012,.012,.012,22800
IPEO,20060720,.021,.021,.021,.021,7703
ISSO,20060720,.016,.016,.016,.016,12500
JMSO,20060720,.02,.02,.02,.02,7500
JVGO,20060720,.15,.15,.15,.15,6667
LEGO,20060720,.021,.021,.018,.019,2470685
LRFO,20060720,.022,.022,.022,.022,100000
MAEO,20060720,.51,.51,.51,.51,55000
MCLO,20060720,.002,.002,.002,.002,875
MEEOA,20060720,.009,.009,.008,.008,10001
MGOO,20060720,.14,.14,.14,.14,99786
MGXOA,20060720,.55,.55,.55,.55,12500
MMXO,20060720,.5,.5,.48,.49,236099
MONO,20060720,.04,.085,.04,.085,377303
MPOOA,20060720,.004,.004,.004,.004,882203
MRYDB,20060720,.007,.007,.007,.007,200
MSXO,20060720,.55,.55,.55,.55,14854
MTDO,20060720,.007,.007,.007,.007,4166
MTYO,20060720,.125,.125,.125,.125,5000
MWEO,20060720,.064,.065,.064,.064,198300
MXRO,20060720,.045,.045,.045,.045,100000
NAVO,20060720,.06,.06,.06,.06,10000
NEOOA,20060720,.005,.005,.005,.005,862941
NMSO,20060720,.155,.155,.145,.145,200000
NZOO,20060720,.14,.14,.14,.14,1000
ORHO,20060720,.03,.03,.03,.03,30000
PDZO,20060720,.195,.195,.19,.19,153115
PELOA,20060720,.015,.016,.015,.015,1871489
PEPO,20060720,.21,.21,.21,.21,3240
PMHOA,20060720,.14,.14,.14,.14,1667
PNOO,20060720,.004,.004,.004,.004,860000
PRUO,20060720,.36,.36,.36,.36,40000
RCIO,20060720,.091,.091,.091,.091,50000
ROYO,20060720,.07,.07,.067,.067,426000
ROYOA,20060720,.09,.091,.09,.091,105837
RPTO,20060720,.079,.08,.079,.08,965850
RRSO,20060720,.016,.016,.016,.016,2907625
RTMO,20060720,.008,.008,.008,.008,1975000
SAUO,20060720,.12,.12,.105,.105,122500
SBSO,20060720,.04,.04,.038,.038,146250
SMNO,20060720,.019,.02,.019,.02,200000
SRKO,20060720,.54,.6,.54,.555,223954
TAWO,20060720,.036,.036,.036,.036,146268
TNGO,20060720,.125,.13,.12,.12,233500
UCLOB,20060720,.028,.028,.028,.028,130000
URAO,20060720,.185,.185,.18,.18,60000
VSGO,20060720,.004,.004,.004,.004,250000
WCPO,20060720,.076,.076,.076,.076,270000
WMEO,20060720,.1,.105,.1,.105,200049
WRLO,20060720,.045,.045,.045,.045,30000
YAMO,20060720,.005,.005,.005,.005,63333
YGLO,20060720,.09,.095,.09,.095,5134140
