As of*,Old details,,New details,
21/04/2020,NNW,99 Wuxian Limited,NNT,99 Technology Limited
7/04/2020,SHJ,Shine Corporate Ltd,SHJ,Shine Justice Ltd
3/04/2020,IMF,IMF Bentham Limited,OBL,Omni Bridgeway Limited
3/04/2020,SM8,Smart Marine Systems Limited,HTG,Harvest Technology Group Ltd
26/03/2020,SMD,Syndicated Metals Limited,DCX,Discovex Resources Limited
24/03/2020,OVL,Oro Verde Limited,IXR,Ionic Rare Earths Limited
27/02/2020,D13,Department International Ltd,D13,Delaware Thirteen Ltd
21/02/2020,TOT,360 Capital Total Return Fund,TOT,360 Capital REIT
10/02/2020,CMA,Centuria Metropolitan REIT,COF,Centuria Office REIT
7/02/2020,KLH,Kalia Limited,MCB,MCB Resoures Limited
5/02/2020,LMW,Landmark White Limited,ACU ,Acumentis Group Limited
3/02/2020,PKA,Plukka Limited,TSO,Tesoro Resources Limited
31/01/2020,PSM,Peninsula Mines Limited,XTC,Xantippe Resources Limited
23/01/2020,SFR,Sandfire Resources NL,SFR,Sandfire Resources Limited
22/01/2020,IGO,Independence Group NL,IGO,IGO Limited
22/01/2020,CIZ,Corizon Limited,EMT,eMetals Limited
21/01/2020,MNC,Metminco Limited,LCL,Los Cerros LImited
20/01/2020,SGM,Sims Metal Management Limited,SGM,Sims Limited
9/01/2020,IBN,iBuyNew Group Limited,RE1,RESA Group Limited
