As of*,Old details,,New details,
30/12/2011,MDA,Modena Resources Limited,SPS,Sprint Energy Limited
29/12/2011,RGM,RGM Media Limited,ONL,One North Entertainment Limited 
29/12/2011,WWW,Whinnen Resources Limited,WSR,Whitestar Resources Limited
28/12/2011,NGY,NuEnergy Capital Limited,NGY,NuEnergy Gas Limited 
23/12/2011,AEX,Acclaim Exploration NL,LRR,Leopard Resources NL 
22/12/2011,VTP,Van Eyk Three Pillars Limited,COT,Continuation Investments Ltd
22/12/2011,NTC,NetComm Limited,NTC,NetComm Wireless Limited
21/12/2011,NRL,Newland Resources Limited,AJC,Acacia Coal Limited
21/12/2011,MAP,MAP Group,SYD,Sydney Airport
21/12/2011,UCL,Union Resources Limited,UCL,UCL Resources Limited 
19/12/2011,ESW,Emerson Stewart Group Limited,OTC,OTOC Limited 
19/12/2011,SPG,Superwoman Group Limited   ,IDP,Indopac Holdings Limited 
15/12/2011,CRW,CRW Holdings Limited,TWH,TW Holdings Limited 
15/12/2011,EZE,Ezenet Limited,OVL,Oro Verde Limited 
14/12/2011,CEO,C @ Limited, DRG,Draig Resources Limited 
13/12/2011,AAM,A1 Minerals Limited,SHK,Stone Resources Australia Limited 
13/12/2011,FCS,4C Security Solutions Limited,MSP,Maxsec Group Limited 
13/12/2011,WCN,White Cliff Nickel Limited   ,WCN,White Cliff Minerals Limited 
9/12/2011,DSN,Desert Energy Limited,DSN,Desert Mines and Metals Limited 
9/12/2011,IDM,Industrial Minerals Corporation Limited   ,IDM,IDM International Ltd 
9/12/2011,NHO,New Horizon Minerals Ltd,NHO,New Horizon Coal Ltd 
8/12/2011,DWS,DWS Advanced Business Solutions Limited,DWS ,DWS Limited 
7/12/2011,ATJ ,Automotive Technology Group Limited   ,SIX,Sprintex Limited 
7/12/2011,VBA,Virgin Blue Holdings Limited,VAH,Virgin Australia Holdings Limited 
6/12/2011,HBS,Heritage Building Society Limited,HBS,Heritage Bank Limited 
6/12/2011,PXR,Palace Resources Limited,PXR,Padang Resources Limited 
5/12/2011,DMN,Datamotion Asia Pacific Limited,NUW,Nuworld Solutions Limited 
5/12/2011,EYE,Eagle Eye Metals Limited,BGS,Birimian Gold Limited 
5/12/2011,SNO,Snowball Group Limited,SFW,SFG Australia Limited 
2/12/2011,KOG ,Kilgore Oil and Gas Limited,TMK,Tamaska Oil and Gas Limited 
2/12/2011,KBL,Kimberley Metals Limited,KBL,KBL Mining Limited 
1/12/2011,WAB,Wallace Absolute Return Limited,AIK,Armidale Investment Corporation Limited 
30/11/2011,URA,Uran Limited,KAB,Kaboko Mining Limited 
29/11/2011,TVN,TVN Corporation Limited,MOU,Modun Resources Ltd 
25/11/2011,ANM,Advanced Magnesium Limited   ,MGL,Magontec Limited 
25/11/2011,BLT,Benitec Limited,BLT,Benitec Biopharma Limited 
24/11/2011,TRH,Transit Holdings Limited,POK,Potash Minerals Limited 
24/11/2011,VLW,Villa World Group,VLW,Villa World Limited 
11/11/2011,DGR,D'Aguilar Gold Limited,DGR,DGR Global Limited 
8/11/2011,CAH,Catalpa Resources Limited,EVN,Evolution Mining Limited 
7/11/2011,VGH,Vision Group Holdings Limited,VEI,Vision Eye Institute Limited
3/11/2011,CCY,China Century Capital Limited   ,AYI,A1 Investments & Resources Ltd 
