As of*,Old details,,New details,
31/12/2003,BNW,Benwood Property Trust,TPG,Taragon Property Fund
29/12/2003,IGO,Independence Gold NL,IGO,Independence Group NL
24/12/2003,AHT,Australian Heritage Group Limited,MSX,Mineral Securities Limited
23/12/2003,BRE,Breathe Group Limited,UNW,Unwired Group Limited
22/12/2003,CYD,County Diamonds Limited,TGF,Tianshan Goldfields Limited
18/12/2003,SOF,Software Communication Group Limited,SOF,Sofcom Limited
17/12/2003,WBB,Wide Bay Capricorn Building Society Limited,WBB,Wide Bay Australia Ltd
17/12/2003,ANK,Amlink Group Limited,GLO,Global Approach Limited
15/12/2003,SFG,St Francis Group Limited,SDL,Sundance Resources Limited
15/12/2003,GEL,Geo2 Limited,RHT,Resonance Health Limited
15/12/2003,CKG,Central Kalgoorlie Gold Mines Limited,SHN,Sherlock Bay Nickel Corporation Limited
15/12/2003,ATT,Amnent Limited,HLI,Hailian International Limited
12/12/2003,ARL,Austrim Nylex Limited,NLX,Nylex Limited
12/12/2003,ANT,Austrim National Radiators Limited,NNZ,Nylex (New Zealand) Limited
12/12/2003,ANL,Anaconda Nickel Limited,MRE,Minara Resources Limited
11/12/2003,IMI,Integra Medical Imaging Limited,IMI,IM Medical Ltd
11/12/2003,JRR,Julia Ross Recruitment Limited,RHD,Ross Human Directions Limited
10/12/2003,EKL,Equitilink Elink Limited,APM,Australian Institute of Property Management Limited
10/12/2003,GOI,Gowit Limited,AGC,Agincourt Resources Limited
8/12/2003,AUY,Auiron Energy Limited,FLX,Felix Resources Limited
8/12/2003,GOL,Gold Bullion Limited,GOL,Gold Bullion Securities Limited
8/12/2003,CTO,Charters Towers Gold Mines Limited,CTO,Citigold Corporation Limited
4/12/2003,BQT,Banque-Tec Limited,BQT,BQT Solutions Limited
3/12/2003,AIL,Australian Innovation Limited,DUL,Dulhunty Power Limited
1/12/2003,PNH,Pineapplehead Limited,LKP,Lako Pacific Limited
27/11/2003,STL,Syntech Group Limited,ORT,Organic Resource Technology Limited
25/11/2003,YTL,Yates Limited,AUX,Ausron Limited
21/11/2003,CDK,CDK Tectonics Limited,CSH,Concept Hire Limited
21/11/2003,LUO,Lend Lease US Office Trust,PAO,Principal America Office Trust
20/11/2003,SRT,Startrack Communications Limited,KKT,Konekt Limited
18/11/2003,BSL,BHP Steel Limited,BSL,Bluescope Steel Limited
17/11/2003,TTL,Thin Technologies Limited,AMD,Acuity Investment Management Limited
12/11/2003,ALZ,Australand Holdings Limited,ALZ,Australand Property Group
10/11/2003,INX,Inovax Limited,AHG,Advance Healthcare Group Ltd
6/11/2003,EZI,Ezyimage Limited,MWR,MGM Wireless Limited
6/11/2003,FMG,Fortescue Metal Group Ltd,FMG,Fortescue Metals Group Ltd
6/11/2003,MUS,Mustang Group Limited,MHL,Metabolism Health Limited
6/11/2003,TIL,Technology Incubation Group Limited,TIL,Tiger International Limited
5/11/2003,EST,Estar Online Trading Limited,IFC,Infracorp Limited
5/11/2003,PMO,Philip Morris Companies Inc,AXG,"Altria Group, Inc"
3/11/2003,MXS,Maxis Corporation Limited,SNN,Sonnet Corporation Limited
21/10/2003,HPL,Hartleys Limited,JDV,JDV Limited
20/10/2003,AGS,Alliance Energy Limited,AGS,Alliance Resources Limited
13/10/2003,KRZ,Kalrez Energy Limited,LIO,Lion Energy Limited
10/10/2003,BKM,Blink Models Limited,BKM,BKM Management Limited
2/10/2003,HRT,Hartec Limited,LRX,Longreach Group Limited
29/09/2003,CLE,Clearwater Group Limited,QRS,QRSciences Holdings Limited
24/09/2003,QMM,Q Multimedium Limited,JBK,Jumbuck Corporation Limited
24/09/2003,XEL,Xcell Diagnostics Limited,VSG,Visiomed Group Limited
15/09/2003,CVC,Continental Venture Capital Limited,CVC,CVC Limited
10/09/2003,CBO,Cobra Resources Limited,RMI,Resource Mining Corporation Limited
10/09/2003,AOF,AMP Office Trust,RPH,Ronin Property Group
5/09/2003,WAV,Waivcom Worldwide Limited,WAV,Wave Capital Limited
5/09/2003,PHO,Phoneware Limited,RTN,Rattoon Holdings Limited
1/09/2003,AXSMGE,WHTM Access Global Equity Fund,GCE,GEC Eurogrowth Fund
1/09/2003,AXSBMD,WHTM Access Managed Fund,GCH,GEC Australian Healthcare Fund
1/09/2003,AXSBAE,WHTM Access Australian Equity Fund,GCA,GEC Asian Value Fund
27/08/2003,OTS,Online Trading Systems Limited,TNC,Transol Corporation Limited
27/08/2003,PPL,Park Plaza Kemayan Limited,TRV,Travel Holdings Limited
27/08/2003,PPL,Park Plaza Kemayan Limited,TRV,Travel Holdings Limited
25/08/2003,CPG,Captech Group Limited,IIG,Integrated Investment Group Limited
25/08/2003,CHS,Chaos Group Limited,MVL,Microview Limited
5/08/2003,AMS,Allied Mining & Processing Limited,FMG,Fortescue Metal Group Ltd
5/08/2003,AGA,Armourglass Limited,CWH,China West International Holdings Limited
1/08/2003,TRT,Tuart Resources Limited,EXT,Extract Resources Ltd
29/07/2003,APZ,Aspen Group Limited,APZ,Aspen Group
28/07/2003,BFS,Beacon Financial Services Limited,TFS,Tranzact Financial Services Limited
25/07/2003,HML,Hamill Resources Limited,IGL,International Goldfields Limited
23/07/2003,VLR,Valdera Resources Limited,GGP,Golden Gate Petroleum Ltd
22/07/2003,GTA,Global Technology Australasia Limited,ADL,Admerex Limited
21/07/2003,OXR,Oxiana Resources NL,OXR,Oxiana Limited
21/07/2003,GBS,Global Business Solutions Limited,VCL,Viculus Limited
17/07/2003,FHT,Fortland Hotel Property Trust,MPY,MFS Hotel Property Trust
16/07/2003,CPH,CPH Investment Corp,CFG,Challenger Financial Services Group
14/07/2003,CFA,Consolidated Foods Australia Limited,LAL,Lowan Australia Limited
8/07/2003,BIG,Bigshop.com.au Limited,AEA,Altera Capital Limited
3/07/2003,BYO,Beyond Online Limited,MRT,Mariner Retirement Solutions Limited
3/07/2003,AUA,Australian Assets Corporation Limited,MFI,Mariner Financial Limited
2/07/2003,WHL,Willhart Limited,BPG,Byte Power Group Limited
2/07/2003,MZG,Menzies Gold Limited,BTV,Batavia Mining Limited
30/06/2003,SLT,Select-Tel Limited,SLT,Select Vaccines Limited
30/06/2003,ESX,ESEC Limited,ASZ,ASG Group Limited
27/06/2003,CGC,Consolidated Gaming Corporation Limited,BCL,Betcorp Limited
24/06/2003,MLE,Macquarie Leisure Trust,MLE,Macquarie Leisure Trust Group
18/06/2003,ANY,Australia Net.Com Limited,MRI,MRI Holdings Limited
18/06/2003,MJN,Majestic Resources NL,CRD,Crown Diamonds NL
17/06/2003,BMC,BMCMedia Limited,HYO,Hyro Limited
17/06/2003,HBN,Huntleys' Business Network Limited,TCP,Trent Capital Limited
16/06/2003,HTL,Hudson Timber & Hardware Limited,HTL,Hudson Timber Products Limited
13/06/2003,GAS,GasNet Australia Trust,GAS,GasNet Australia Group
6/06/2003,VNA,Voicenet (Aust) Limited,AFT,AFT Corporation Limited
4/06/2003,SKN,Skansen Holdings Limited,HLD,HomeLeisure Limited
22/05/2003,IGM,IGM Group Limited,CHT,Chester Mining Limited
21/05/2003,EEL,Envirostar Energy Limited,GPE,Green Pacific Energy Limited
14/05/2003,ALN,Alintagas Limited,ALN,Alinta Limited
9/05/2003,LOC,Local Telecom and Internet Limited,MCK,MacarthurCook Limited
6/05/2003,ARC,Amalg Resources NL,BRW,Breakaway Resources Limited
1/05/2003,KSM,Kingstream Steel Limited,MIS,Midwest Corporation Limited
29/04/2003,JLA,Julia Corporation Limited,DYL,Deep Yellow Limited
23/04/2003,BTG,BT Global Asset Management Limited,BEL,Bentley Equities Limited
23/04/2003,BTE,BT Australian Equity Management Limited,IBC,Ironbark Capital Limited
22/04/2003,OPM,Optum Group Limited,OPM,Optum Health Limited
16/04/2003,TGL,Trans-Global Interactive Limited,GAM,Gaming & Entertainment Group Limited
14/04/2003,WMM,West Musgrave Mining Limited,AUZ,Australian Mines Limited
1/04/2003,CGB,Chrome Global Limited,KET,Key2 Limited
25/03/2003,TMT,Tyndall Meridian Trust,JFM,JF Meridian Trust
24/03/2003,AGT,Autogen Limited,AGT,AGT Biosciences Ltd
7/03/2003,CSB,Comet Satellite & Cable Limited,BSA,Broadcast Services Australia Limited
4/03/2003,CVN,Carnarvon Petroleum NL,CVN,Carnarvon Petroleum Limited
4/03/2003,GHR,Geographe Resources Limited,REM,Reliance Mining Limited
