As of*,Old details,,New details,
29/12/09,FLE ,Freight Links Express Holdings (Australia) Limited ,RAF,Raffles Capital Limited
29/12/09,MMG ,Macquarie Media Group,SXL,Southern Cross Media Group
24/12/09,CPT ,Capital Intelligence Limited ,SGU,Success Resources Global Ltd
23/12/09,ACX ,ACMA Engineering & Construction Group Limited ,EIM,EL Corporation Limited
22/12/09,FTN ,Fortuna Minerals Limited ,PLS,Pilbara Minerals Limited
21/12/09,MMY ,Mnet Group Limited ,MNZ,Mnet Group Limited
18/12/09,RBH ,Real Brand Holdings Limited ,REZ,Resources & Energy Group Limited
16/12/09,BPT ,Beach Petroleum Limited ,BPT,Beach Energy Limited
15/12/09,CAG ,Cape Range Wireless Limited ,CAG,Cape Range Limited
11/12/09,IPA ,Indigo Pacific Capital Limited ,IPA,Indigo Properties Australia Limited
11/12/09,CAC ,China Cattle Limited ,CJF,China JXY Food Limited
11/12/09,ERO ,Eromanga Uranium Limited ,ERO,ERO Mining Limited
9/12/09,MPI ,Mark Sensing Limited ,TMA,TMA Group of Companies Limited
8/12/09,STX ,Strike Oil Limited ,STX,Strike Energy Limited
8/12/09,HDN ,Haddington Resources Limited ,AJM,Altura Mining Limited
8/12/09,MRK ,Maverick Energy Ltd ,TEG,Triangle Energy (Global) Limited
7/12/09,ORP ,Oropa Limited ,SIH,Sihayo Gold Limited
7/12/09,SOT ,SP Telemedia Limited ,TPM,TPG Telecom Limited
7/12/09,MMY ,Mercury Mobility Ltd ,MMY,Mnet Group Limited
7/12/09,AMA ,Allomak Limited ,AMA,AMA Group Limited
7/12/09,BBI ,Babcock & Brown Infrastructure Group ,PIH,Prime Infrastructure Group
4/12/09,IGC ,International Goldfields Limited ,IPO,International Petroleum Limited
4/12/09,PNR ,Pacific Niugini Minerals Limited ,PNR,Pacific Niugini Limited
7/12/09,TSF ,Total Staffing Solutions Limited ,HUM,Humanis Group Limited
4/12/09,SAE ,Salinas Energy Limited ,NEN,Neon Energy Limited
4/12/09,SPH ,Sphere Investments Limited ,SPH,Sphere Minerals Limited
4/12/09,ENI ,Empowerment International Limited ,SPG,Superwoman Group Limited
4/12/09,LBT ,LabTech Systems Ltd ,LBT,LBT Innovations Limited
3/12/09,REO ,Reco Financial Services Ltd ,BCR,Blackcrest Resources Limited
3/12/09,WME ,West Australian Metals Ltd ,MEY,Marenica Energy Ltd
2/12/09,CCI ,Chrome Corporation Limited ,PNR,Pacific Niugini Minerals Ltd
2/12/09,EVZ ,Envirozel Limited ,EVZ,EVZ Limited
1/12/09,HLG ,Hedley Leisure and Gaming Property Fund ,RPF,Redcape Property Group
1/12/09,CZP ,Computercorp Limited ,SNR,Synergy Plus Limited
1/12/09,MBP ,Metabolic Pharmaceuticals Limited ,CZD,Calzada Limited
30/11/09,SSS ,Sam's Seafood Holdings Limited ,PZC,Pan Asia Corporation Limited
27/11/09,CFE ,Cape Lambert Iron Ore Limited ,CFE,Cape Lambert Resources Limited
26/11/09,ITS ,Interstaff Recruitment Limited ,ITS,Interstaff International Limited
25/11/09,AIB ,Aurora Infrastructure Buy-Write Income Trust ,AIB,Aurora Global Infrastructure Income Trust
25/11/09,AWE ,Australian Worldwide Exploration Limited ,AWE,AWE Limited
24/11/09,BLP ,Babcock & Brown Residential Land Partners Group ,RLG,RCL Group
24/11/09,BRD ,Black Ridge Mining Ltd ,BRD,Black Ridge Mining NL
20/11/09,BCD ,Beaconsfield Gold NL ,BCD,BCD Resources NL
20/11/09,DIA ,Dia-B Tech Limited ,PNM,Pallane Medical Limited
20/11/09,MTY ,Medical Therapies Limited ,CDY,Cellmid Limited
18/11/09,MFI ,Mariner Financial Limited ,MCX,Mariner Corporation Limited
17/11/09,CQU ,Commquest Ltd ,DTO,D2 Marketing Ltd
16/11/09,MMB ,Magma Metals Limited ,MMW,Magma Metals Limited
13/11/09,LLC ,Lend Lease Corporation Limited ,LLC,Lend Lease Group
12/11/09,UGL ,United Group Limited ,UGL,UGL Limited
12/11/09,BFE ,Black Fire Energy Limited ,BFE,Black Fire Minerals Ltd
11/11/09,MAZ ,MACQUARIE AIRPORTS RESET EXCHANGE SECURITIES TRUST ,MAZ,MAREST
11/11/09,MPO ,Molopo Australia Limited ,MPO,Molopo Energy Limited
9/11/09,BKI ,Brickworks Investment Company Limited,BKI,BKI Investment Company Limited
6/11/09,GOA ,Gold Aura Limited ,GOA,Gold Anomaly Limited
5/11/09,AJA ,Astro Japan Property Trust ,AJA,Astro Japan Property Group
5/11/09,BMI ,BMDI TUTA LIMITED ,MLA,Medical Australia Limited
27/10/09,OPI ,Optima ICM Limited ,SVG,Saint Istvan Gold Limited
23/10/09,MAP ,MACQUARIE AIRPORTS ,MAP,MAp Group
23/10/09,MMN ,Macmin Silver Ltd ,AYN,Alcyone Resources Ltd
19/10/09,IRH ,International Resource Holdings Limited,CGV,Clean Global Energy Limited
14/10/09,HTE ,HiTec Energy Limited ,MAS,Mesa Minerals Limited
13/10/09,AWL , Australian Wine Holdings Limited,AWL,AWH Corporation Limited
8/10/09,ARO , Astro Diamond Mines NL,ARO,Astro Resources NL
