As of*,Old details,,New details,
29/12/2017,SWE,Swala Energy Limited,SL1,Symbol Mining Limited
27/12/2017,FGR,First Graphite Limited,FGR,First Graphene Limited
22/12/2017,ENZ,Enzumo Limited,CWL,Chant West Holdings Limited
21/12/2017,ATP,Atlas Pearls and Perfumes Ltd,ATP,Atlas Pearls Ltd
20/12/2017,HJB,HJB Corporation Limited,JAN,Janison Education Group Limited
19/12/2017,AU1,Ausnet Financial Services Limited,AU1,The Agency Group Australia Ltd
19/12/2017,GGH,Global Gold Holdings,PLC,PLC Financial Solutions Limited
18/12/2017,KBU,Kabuni Ltd,S3R,Serpentine Technologies Limited
18/12/2017,LCR,Laconia Resources Limited,MSE,Metalsearch Limited
18/12/2017,MNM,Mantle Mining Corporation Ltd,AUL,Austar Gold Limited
18/12/2017,IMI,IM Medical Ltd,BPP,Babylon Pump & Power Limited
15/12/2017,MBE,Mobile Embrace Limited,IMS,Impelus Limited
15/12/2017,HHV,Hunter Hall Global Value Limited,PIA,Pengana International Equities Limited
15/12/2017,QUR,Quantum Resources Limited,NVA,Nova Minerals Limited
14/12/2017,CNQ,Carbine Tungsten Limited,SEI,Speciality Metals International Limited
14/12/2017,ZML,Zipmoney Ltd,ZML,Zip Co Limited
13/12/2017,SM8,Shark Mitigation Systems Ltd,SM8,Smart Marine Systems Limited
11/12/2017,WOW,Woolworths Ltd,WOW,Woolworths Group Limited
11/12/2017,MHM,MHM Metals Limited,VYS,Vysarn Limited
11/12/2017,BML,Botswana Metals Limited,SI6,Six Sigma Metals Limited
8/12/2017,CZA,Coal of Africa Limited,MCM,MC Mining Limited
7/12/2017,ITD,ITL Limited,ITD,ITL Health Group Limited
6/12/2017,SEG,Segue Resources Limited,AMD,Arrow Minerals Ltd
6/12/2017,BCI,BC Iron Limited,BCI,BCI Minerals Limited
5/12/2017,SUD,Suda Ltd,SUD,Suda Pharmaceuticals Ltd
5/12/2017,AVW,Avira Energy Limited,AVW,Avira Resources Ltd
4/12/2017,AWQ,Arowana Australasian Value Opportunities Fund Limited,CVF,Contrarian Value Fund Limited
4/12/2017,BTC,Biotech Capital Limited,BTC,BTC Health Ltd
4/12/2017,EMX,Energia Minerals Limited,AZI,Alta Zinc Limited
4/12/2017,EYM,Elysium Resources Limited,HDY,Hardey Resources Limited
4/12/2017,GLF,Gulf Industrials Limited,CMD,Cassius Mining Limited
4/12/2017,NWZ,Newzulu Limited,CSK,Crowdspark Ltd
