As of*,Old details,,New details,
31/12/2013,BRL,Bathurst Resources (New Zealand) Limited,BRL,Bathurst Resources Limited
30/12/2013,AIR,Astivita Renewable Limited,AIR,Astivita Limited
27/12/2013,SGY,Solimar Energy Limited,SXS,Solimar Energy Limited.
23/12/2013,CNO,Conto Resources Limited,DTR,Dateline Resources Limited
19/12/2013,DTQ,Drill Torque Limited,MSV,Mitchell Services Limited
18/12/2013,MRF,Mongolioan Resources Limited,MRF,MRL Corporation Ltd
17/12/2013,ABN,Adeffective Limited,SHP,Shoply Limited
17/12/2013,BMG,Brazilian Metals Group Limited,BMG,BMG Resources Limited
16/12/2013,STE,Stratatel Limited,JCS,JCurve Solutions Ltd
13/12/2013,RIA,Rialto Energy Limited,APY,Azonto Petroleum Ltd
13/12/2013,ABQ,Allied Consolidated Limited,DVI,Disruptive Investment Group Limited
13/12/2013,AAY,AACL Holdings Limited,ALA,Applabs Technologies Ltd
13/12/2013,ARR,Arasor International Limited,LHB,Lionhub Group Limited
11/12/2013,ARF,Arena REIT,ARF,Arena Group
11/12/2013,ISK,Island Sky Australia Limited,PAW,Pawnee Energy Limited
11/12/2013,GPR,Geopacific Resources NL,GPR,Geopacific Resources Ltd
10/12/2013,BNX,Bannon Limited,KNE,Kunene Resources Limited
10/12/2013,FKP,FKP Property Group,AOG,AVEO Group
10/12/2013,ERN,Erongo Energy Limited,EXU,Explaurum Limited
9/12/2013,SKS,Stokes (Australasia) Limited,SKS,Stokes Limited
6/12/2013,EXA,Excela Limited,AHA,AG Financial Ltd
6/12/2013,RNU,Renaissance Resources Limited,RNU,Renascor Resources Limited
5/12/2013,JET,Jetset Travelworld Ltd,HLO,Helloworld Limited
5/12/2013,HIL,Hills Holdings Limited,HIL,Hills Limited
5/12/2013,GWR,Golden West Resources Limited,GWR,GWR Group Limited
4/12/2013,WWM,Wentworth Holdings Limited,TOP,Thorney Opportunities Ltd
3/12/2013,IMF,IMF (Australia) Ltd,IMF,Bentham IMF Limited
2/12/2013,BAC,Baru Resources Limited,DAF,Discovery Africa Limited
29/11/2013,MPS,Macarthurcook Property Securities Fund,APW,Aims Property Securities Fund
27/11/2013,ANW,AusNiCo Limited,ANW,Aus Tin Mining Ltd
27/11/2013,DMA,Dynasty Metals Australia Limited,DMA,Dynasty Resources Limited
25/11/2013,AHZ,Allied Healthcare Group Ltd,AHZ,Admedus Ltd
18/11/2013,ECQ,Eco Quest Limited,CYP,Cynata Therapeutics Limited
18/11/2013,CGP,Consegna Group Limited,RNO,Rhinomed Limited
7/11/2013,IPE,ING Private Equity Access Limited,IPE,IPE Limited
6/11/2013,FLT,Flight Centre Limited,FLT,Flight Centre Travel Group Limited
4/11/2013,CWN,Crown Limited,CWN,Crown Resorts Limited
31/10/2013,BLH,Bligh Mining Limited,LDM,Land and Mineral Exploration Limited
25/10/2013,TUP,TTG Mobile Coupon Services Limited,TUP,TTG Fintech Limited
21/10/2013,ATN,Ashburton Minerals Ltd,PLP,Platypus Minerals Ltd
17/10/2013,RNC,Run Corp Limited,RNC,Real Estate Corp Limited
11/10/2013,CXY,Cougar Energy Limited,MRV,Moreton Resources Ltd
4/10/2013,TGP,Trafalgar Corporate Group,TGP,360 Capital Group
30/09/2013,FRG,Forge Resources Limited,RTA,Rutila Resources Limited
27/09/2013,ERO,Ero Mining Limited,TYK,Tychean Resources Ltd
20/09/2013,MWN,Midwinter Resources NL,CXB,Cobre Montana NL
