As of*,Old details,,New details,
31/12/2012,ROB,Robe Australia Limited,MRF,Mongolian Resources Limited
31/12/2012,VWM,Victory West Metals Limited,SXI,South East Asia Resources Limited
21/12/2012,HDF,Hastings Diversified Utilities Fund,HDF,APA Sub Group 
20/12/2012,AAE,Agri Energy Limited,SCY,Sirocco Energy Ltd 
19/12/2012,AJJ,Asian Centre for Liver Diseases and Transplantation Limited,AJJ ,Asian American Medical Group Limited 
18/12/2012,SYM,Symex Holdings Limited,PTL,Pental Limited 
14/12/2012,RRI,Rico Resources Limited,OGH,Ochre Group Holdings Limited 
13/12/2012,SKM,Sunseeker Minerals Limited,BSP,Black Star Petroleum Limited 
11/12/2012,AVZ,Avonlea Minerals Limited   ,AVZ,AVZ Minerals Limited 
10/12/2012,KRE,Kimberley Rare Earths Limited,AWV,Anova Metals Limited 
10/12/2012,IAW,Integrated Legal Holdings Limited,IAW,ILH Group Limited 
10/12/2012,FMJ,Fortis Mining Limited,KPC,Kazakhstan Potash Corporation Limited 
10/12/2012,EPC,Epic Resources Limited,AZQ,Ascot Resources Limited 
7/12/2012,WFM,Webfirm Group Limited,ADJ,Adslot Ltd 
7/12/2012,RUL,Runge Limited,RUL ,RungePincockMinaro Limited 
7/12/2012,NAD,North Australian Diamonds Ltd,MED,Merlin Diamonds Limited 
7/12/2012,EIO,Energio Limited,KFE,Kogi Iron Limited 
7/12/2012,EMS,Eastland Medical Systems Ltd,SUD,Suda Ltd 
6/12/2012,HUM,Humanis Group Limited,BUE,Bluestone Global Limited 
6/12/2012,DMX,Dolomatrix International Limited,DMX,DMX Corporation Limited 
5/12/2012,QRN,QR National Limited,AZJ,Aurizon Holdings Limited 
5/12/2012,WMN,Western Manganese Limited,WMN,Western Mining Network Limited 
5/12/2012,CIG,Caspian Oil and Gas Limited,EQE,Equus Mining Limited 
3/12/2012,WTG,Wintech Group Limited,DIR,Direct Nickel Limited 
3/12/2012,EPG,European Gas Limited,FZR,Fitzroy River Corporation Ltd 
30/11/2012,TEU,Top End Uranium Ltd,TND,Top End Minerals Limited 
30/11/2012,IPR,Ipernica Limited,NEA,Nearmap Ltd
30/11/2012,ABQ,Allied Brands Limited,ABQ,Allied Consolidated Limited 
29/11/2012,HEM,Hemisphere Resources Limited,NXM,Nexus Minerals Limited 
27/11/2012,SWN,Silver Swan Group Limited,CVV,Caravel Minerals Limited 
27/11/2012,MBD,Marbletrend Group Limited,MBD,MBD Corporation Limited 
26/11/2012,IEF,IEF Real Estate Entertainment Group,LTN,Lantern Hotel Group 
26/11/2012,OYM,Olympus Pacific Minerals Inc,BEZ,Besra Gold Inc 
22/11/2012,AAO,Adept Solutions Limited,EML,Emerchants Limited 
21/11/2012,TNV,Terranova Minerals NL   ,AOU,Auroch Minerals NL 
20/11/2012,QUB,Qube Logistics Holdings Limited,QUB,Qube Holdings Limited 
14/11/2012,GSF,GSF Corporation Limited,YOW,Yowie Group Ltd 
