As of*,Old details,,New details,
29/12/2015,POK,Potash Minerals Limited,BUD,Buddy Platform Ltd
29/12/2015,NRR,Naracoota Resources Limited,ALC,Alcidion Group Limited
24/12/2015,SXT,Stratum Metals Limited,LPE,Locality Planning Energy Holdings Limited
24/12/2015,RGX,Red Gum Resources Limited,MSG,MCS Services Limited
24/12/2015,MSC,Minerals Corporation Limited,MSM,MSM Corporation International Ltd
24/12/2015,MFE,Magnetite Mines Limited,MGT,Magnetite Mines Limited
22/12/2015,SAV,Savcor Group Limited,EMC,Emefcy Group Limited
22/12/2015,AHD,Amalgamated Holdings Limited,EVT,Event Hospitality and Entertainment Ltd
21/12/2015,MOO,Minto Minerals Ltd,SRO,Shareroot Ltd
18/12/2015,ZMG,Zingmobile Group Limited,PEG,Pixie Group Limited
17/12/2015,NVG,Navaho Gold Limited,DHR,Dark Horse Resources Limited
16/12/2015,ROY,Royal Resources Limited,MFE,Magnetite Mines Limited
16/12/2015,ERI,Erin Resources Limited,MXC,MGC Pharmaceuticals Ltd
16/12/2015,FWL,Ferrowest Limited,LCG,Living Cities Development Group
15/12/2015,SYP,Style Limited,MTM,Mareterram Limited
15/12/2015,PNX,Phoenix Copper Limited,PNX,PNX Metals Limited
15/12/2015,MTI,Montec International Limited,AWY,Australian Whiskey Holdings Limited
14/12/2015,FRY,Fitxroy Resources Limited,4DS,4DS Memory Limited
14/12/2015,CIR,Circadian Technologies Limited,OPT,Opthea Limited
11/12/2015,DCC,Digital CC Limited,DCC,DigitalX Limited
10/12/2015,BKY,Berkeley Energy Limited,BKY,Berkeley Energia Limited
9/12/2015,MWS,MDS Financial Group Limited,SEQ,Sequoia Financial Group Ltd
8/12/2015,PNR,Pacific Niugini Limited,PNR,Pantoro Limited
8/12/2015,NOD,Nomad Building Solutions Limited,OTR,Onterran Limited
8/12/2015,NAG,Nagambie Mining Limited,NAG,Nagambie Resources Limited
8/12/2015,EBT,Ebet Limited,ITQ,Intecq Limited
7/12/2015,MRF,Mrl Corporation Limited,FGR,First Graphite Limited
7/12/2015,ISN,iSonea Limited,RSH,Respiri Limited
4/12/2015,TPC,TEL.Pacific Limited,TPC,TPC Consolidated Limited
4/12/2015,EVE,Energy Ventures Limited,EVE,EVE Investments Limited
3/12/2015,MUM,Mount Magnet South NL,MUM,Mount Magnet South Limited
3/12/2015,KNE,Kunene Resources Limited,D13,Department 13 International Ltd
3/12/2015,IOZ,iShares MSCI Australia 200 ETF,IOZ,iShares S&P/ASX 200 ETF
3/12/2015,CCJ,County Coal Limited,CCJ,County International Limited
2/12/2015,YRR,Yellow Rock Resources Limited,AVL,Australian Vanadium Limited
2/12/2015,WHE,Wildhorse Energy Limited,SO4,Salt Lake Potash Limited
