As of*,Old details,,New details,
28/12/2001,TLN,Talon Resources NL,SUP,Supersorb Environmental NL
21/12/2001,ANK,Amlink Technologies Limited,ANK,Amlink Group Limited
21/12/2001,TRD,Third Rail Limited,SOU,Southpointe Limited
19/12/2001,DAD,Data Advantage Limited,BCA,Baycorp Advantage Limited
18/12/2001,IBA,IBA Technologies Limited,IBA,IBA Health Limited
18/12/2001,DSW,Deepsky Webmarket Limited,MRY,Monteray Group Limited
17/12/2001,ESV,eserv Limited,ESV,eservglobal Limited
14/12/2001,MEN,Marymia Exploration NL,RGL,Revesco Group Limited
12/12/2001,HDR,Hardman Resources NL,HDR,Hardman Resources Limited
12/12/2001,TPX,Tasmanian Trustees Limited,TPX,Tasmanian Perpetual Trustees Limited
6/12/2001,EHY,ehyou.com Limited,DES,Destra Corporation Limited
5/12/2001,NLY,Normandy Mt Leyshon Limited,LRL,Leyshon Resources Limited
5/12/2001,SQS,Shield Telecommunications Limited,AFM,Afminex Limited
30/11/2001,FAN,Fantastic Furniture Holdings Limited,FAN,Fantastic Holdings Limited
29/11/2001,TOM,Tomorrow Limited,MGP,MEM Group Limited
27/11/2001,IAS,International All Sports Limited,IAS,Iasbet Limited
26/11/2001,BTB,B2B.Net Technology Limited,AUH,Australian Healthcare Technology Ltd
26/11/2001,QCC,Queensland Capital Corporation Limited,TER,Terrain Australia Limited
21/11/2001,ITL,Internet Travel Group Limited,ITG,ITG Limited
19/11/2001,MIA,Medical Imaging Australasia Limited,MIA,Mia Group Limited
19/11/2001,OPS,OPSM Protector Limited,OPS,OPSM Group Limited
15/11/2001,ISP,ISP Limited,SML,Synergy Metals Ltd
15/11/2001,LGO,Longreach Gold Oil Limited,LGO,Longreach Oil Limited
15/11/2001,MAX,Maxilink Limited,ALR,Aberdeen Leaders Limited
12/11/2001,QES,Quaestus Limited,ASO,Australian Silicon Limited
2/11/2001,OKN,Oakton Computing Limited,OKN,Oakton Limited
2/11/2001,SKC,Sky City Limited,SKC,Sky City Entertainment Group Limited
26/10/2001,BDF,BridgeDFS Limited,IRE,Iress Market Technology Limited
25/10/2001,ACC,Access1 Limited,DID,Didasko Limited
25/10/2001,IWL,Investorweb Limited,IWL,IWL Limited
19/10/2001,MXM,Multimedia Limited,IMF,Insolvency Management Fund Limited
15/10/2001,ELC,Electrotech Holdings Limited,ELC,Electrotech Investments Limited
5/10/2001,CHS,Chaosmusic Limited,CHS,Chaos Group Limited
1/10/2001,AKC,Atkins Carlyle Limited,ALS,Alesco Corporation Limited
28/09/2001,HZM,Horizon Mining Limited,HZG,Horizon Global Limited
28/09/2001,BIC,Biron Corporation Limited,BIC,Biron Capital Limited
26/09/2001,NGL,Noall Group Limited,TNL,Tolhurst Noall Group Ltd
19/09/2001,COP,Copper Mines and Metals Limited,RML,Rusina Mining Ltd
17/09/2001,DAR,Darowa Corporation Limited,CLX,CTI Logistics Limited
10/09/2001,BMC,BMCMedia.com Limited,BMC,BMCMedia Limited
7/09/2001,MTC,Min-Tech 8 Limited,TLZ,Telezon Limited
31/08/2001,OPT,Optecom Limited,ABI,Ambri Limited
31/08/2001,OTO,131 Shop.com.au Limited,FOC,Focus Technologies Limited
28/08/2001,SEE,Seed Capital International Limited,SEE,Sun Capital Group Limited
28/08/2001,TRT,Tuart Resources NL,TRT,Tuart Resources Limited
24/08/2001,WGC,Wells Gold Corporation Limited,RIL,Renewable Investments Limited
23/08/2001,MQL,Medicine Quantale Limited,COO,Cosmos Limited
20/08/2001,ADH,Aerodata Holdings Limited,AQT,Aliquot Asset Management Limited
20/08/2001,EIT,Entity1 Limited,NXS,Nexus Energy Limited
17/08/2001,APU,Australian Platinum Mines NL,AEH,Aerosonde Holdings Limited
15/08/2001,MUL,Multiemedia.com Limited,MUL,Multiemedia Limited
10/08/2001,AVT,Australian Vaccine Technologies Limited,AVT,AVT Holdings Limited
10/08/2001,PRI,Protel International Limited,ALU,Altium Limited
8/08/2001,SAS,SMS Management & Technology Limited,SMX,SMS Management & Technology Limited
7/08/2001,BLI,Biologic International Limited,CHH,Cottee Health Limited
3/08/2001,PHX,Phoenix Mining Limited,DMX,Dolomatrix International Limited
2/08/2001,FIM,Fimiston Resources & Technology Limited,XEL,Xcell Diagnostics Limited
31/07/2001,GEC,Gemstone Corporation of Australia Limited,ELX,Ellex Medical Lasers Limited
20/07/2001,GOC,Gocorp Limited,LAS,Lasseters Corporation Limited
13/07/2001,AGS,Alliance Gold Limited,AGS,Alliance Energy Limited
11/07/2001,MCD,Medical Care Services Limited,GGL,Gribbles Group Limited (The)
10/07/2001,HLX,Helix Resources NL,HLX,Helix Resources Limited
6/07/2001,TLL,Technology Licensing Limited,CPG,Captech Group Limited
3/07/2001,FBG,Foster's Brewing Group Limited,FGL,Foster's Group Limited
3/07/2001,GTL,Golden Triangle Resources NL,PMH,Pacific Magnesium Corporation Limited
3/07/2001,HTE,Hitec Energy NL,HTE,Hitec Energy Limited
3/07/2001,SAS,Sausage Software Limited,SAS,SMS Management & Technology Limited
2/07/2001,AXP,AXA Australia Diversified Property Trust,DDF,Deutsche Diversified Trust
2/07/2001,EPH,e.Phone Limited,ETT,Electronic Transaction Technology Limited
2/07/2001,SME,Suncorp-Metway Limited,SUN,Suncorp-Metway Limited
29/06/2001,BHP,BHP Limited,BHP,BHP Billiton Limited
29/06/2001,PRR,Prima Resources Limited,PRR,Prima Biomed Ltd
29/06/2001,BNA,Britannia Gold NL,SBP,Solbec Pharmaceuticals Limited
28/06/2001,DEF,Defiance Mining NL,MDM,Medical Monitors Limited
26/06/2001,GRD,Gold & Resource Developments NL,GRD,GRD NL
22/06/2001,BII,Biotech International Limited,AGX,Agenix Limited
14/06/2001,EQL,Equico Corporation Limited,AVA,Aviva Corporation Limited
8/06/2001,LTC,L-Tel Corporation Limited,AGZ,A.G.D Mining Limited
7/06/2001,KID,Kidz.Net Limited,IVK,Investika Limited
6/06/2001,MDN,Maiden Gold NL,SBS,Sub-Sahara Resources NL
6/06/2001,TPL,terraplanet.com Limited,TPL,Terraplanet Limited
5/06/2001,DOW,Downer Group Limited,DOW,Downer EDI Limited
1/06/2001,BSC,Bliss Corporation Limited,INA,Internova MCI Limited
1/06/2001,WSX,Worldschool Limited,TBC,Tribecca Corporation Limited
28/05/2001,PSE,Pacific Sports Entertainment Limited,BBL,Brisbane Broncos Limited
23/05/2001,CYB,Cybonet Limited,EQX,Eqitx Limited
23/05/2001,CSA,Crest Magnesium NL,ICO,Indcor Limited
16/05/2001,SMG,Sumich Group Limited,PSD,pSivida Limited
11/05/2001,APU,Australian Platinum Mines NL,APU,Australian Platinum Mines Limited
8/05/2001,AYO,Amity Oil NL,AYO,Amity Oil Limited
7/05/2001,EXO,Exodus Minerals Limited,ACU,Australian Cancer Technology Limited
27/04/2001,DAH,David Garry Holdings Limited,GAR,Garrisons Accounting Group Limited
20/04/2001,CYB,Cybonet.com Limited,CYB,Cybonet Limited
17/04/2001,FFS,Fletcher Challenge Limited,FFS,Fletcher Challenge Forests Limited
