As of*,Old details,,New details,
30/12/2014,RAU,Republic Gold Limited,BIG,Big Un Limited
30/12/2014,ORO,Oroya Mining Limited,DKO,Dakota Minerals Limited
24/12/2014,ORD,Ord River Resources Limited,VAN,Vango Mining Limited
22/12/2014,IZM,Intercept Minerals Ltd,XTV,XTV Networks Ltd
22/12/2014,CGU,Commissioners Gold Limited,GMN,Gold Mountain Limited
19/12/2014,RDR,Reed Resources Limited,NMT,Neometals Limited
17/12/2014,GRM,Global Resources Corporation Limited,AMN,Agrimin Limited
17/12/2014,CES,Coal Fe Resources Limited,AQJ,Aus Asia Minerals Limited
17/12/2014,AIW,AusAmerican Mining Limited,ARK,Ausroc Metals Ltd
16/12/2014,MEH,Merah Resources Limited,MNQ,Minquest Limited
16/12/2014,IRG,Integrated Resources Group Limited,LCD,Latitude Consolidated Limited
16/12/2014,EMA,Energy & Minerals Australia Limited,VMY,Vimy Resources Limited
15/12/2014,VHL,Virax Holdings Limited,PTX,Prescient Therapeutics Limited
15/12/2014,SXG,Southern Cross Goldfields Limited,BOK,Black Oak Minerals Limited
15/12/2014,QNA,Qanda Technology Limited,CL8,Collaborate Corporation Limited
15/12/2014,QPN,Quest Petroleum NL,IND,Indus Energy NL
15/12/2014,MYA,My ATM Holdings Limited,IWG,Iwebgate Limited
15/12/2014,MNW,Mint Wireless Limited,MNW,Mint Payments Limited
15/12/2014,EMR,Emerald Oil & Gas NL,EMR,Emerald Resources NL
12/12/2014,TCQ,Trinity Group,UPG,Unity Pacific Group
12/12/2014,WLR,World Oil Resources Limited,ABL,Abilene Oil and Gas Limited
11/12/2014,FGX,Future Generation Investment Fund Limited,FGX,Future Generation Investment Company Limited
11/12/2014,AEM,Artist & Entertainment Group Limited,EOR,Enhanced Oil & Gas Recovery Limited
10/12/2014,MRM,Mermaid Marine Australia Limited,MRM,MMA Offshore Limited
9/12/2014,RHP,Rhype Limited,RHP,Rhipe Limited
9/12/2014,HRL,Hot Rock Limited,HRL,HRL Holdings Ltd
8/12/2014,MTE,Metrocoal Limited,MMI,Metro Mining Limited
8/12/2014,GUN,Gunson Resources Limited,STA,Strandline Resources Limited
5/12/2014,AXC,AXG Mining Limited,MRD,Mount Ridley Mines Limited
5/12/2014,AVK,Argentina Mining Limited,TRL,Tanga Resources Limited
4/12/2014,SAT,Stratos Resources Limited,ADV,Ardiden Limited
4/12/2014,VOR,Voyager Resources Limited,CJC,The Carajas Copper Company Limited
3/12/2014,WEG,White Eagle Resources Limited,XTD,XTD Limited
3/12/2014,PMQ,Planet Metals Limited,CAE,Cannindah Resources Limited
3/12/2014,AMT,Advanced Surgical Design & Manufacture Limited,AMT,Allegra Orthopaedics Limited
2/12/2014,NFL,Natural Fuel Limited,BGC,Bridge Global Capital Management Limited
2/12/2014,STS,Structural Systems Limited,STS,SRG Limited
1/12/2014,TRI,Triumph Tin Limited,HMI,Harvest Minerals Ltd
1/12/2014,CZD,Calzada Limited,PNV,Polynovo Limited
1/12/2014,BPO,Bioprospect Limited,MEB,Medibio Limited
26/11/2014,IBY,iBuy Group Limited,E88,Ensogo Limited
24/11/2014,AGK,AGL Energy Limited,AGL,AGL Energy Limited
20/11/2014,RKS,RKS Consolidated Limited,SKF,Skyfii Ltd
19/11/2014,IMF,Bentham IMF Limited,IMF,IMF Bentham Limited
17/11/2014,EZA,Ezeatm Limited,EZA,EZA Corporation Ltd
13/11/2014,GRV,Greenvale Mining NL,GRV,Greenvale Energy NL
12/11/2014,UUL,United Uranium Limited,UUL,Ultima United Limited
12/11/2014,MNZ,Mnemon Limited,GEG,Grays eCommerce Group Limited
12/11/2014,AKA,Australia Minerals & Mining Group Limited,ATC,Altech Chemicals Ltd
7/11/2014,PIM,Prime Minerals Limited,CVT,Covata Limited
5/11/2014,VTX,Vortex Pipes Limited,VTX,VTX Holdings Limited
3/11/2014,CFX,CFS Retail Property Trust Group,NVN,Novion Property Group
31/10/2014,SPS,Sprint Energy Limited,VGR,Voyager Global Group Ltd
27/10/2014,APP,APA Financial Services Group,AHF,Australian Dairy Farms Group
15/10/2014,VBP,Van Eyk Blueprint Alternatives Plus,MAX,Millinium's Alternatives Fund
14/10/2014,CRJ,Caravel Energy Limited,AWW,Antares Mining Limited
13/10/2014,ITT,Intermet Resources Limited,1PG,1-Page Limited
1/10/2014,IAF,Ishares UBS Composite Bond ETF,IAF,Ishares Composite Bond ETF
1/10/2014,IGB,Ishares UBS Treasury ETF,IGB,Ishares Treasury ETF
1/10/2014,ILB,Ishares UBS Government Inflation ETF,ILB,Ishares Government Inflation ETF
29/09/2014,AYM,Altius Mining Ltd,AYM,Australia United Mining Limited
26/09/2014,RNI,Resources and Investment NL,RNI,RNI NL
25/09/2014,UNX,Uranex Limited,MNS,Magnis Resources Limited
25/09/2014,OMI,OMI Holdings Limited,ICU,Isentric Limited
18/09/2014,TDI,Tidewater Investments Limited,ARC,Australian Rural Capital Limited
5/09/2014,AIX,Australian Infrastructure Fund Limited,FGX,Future Generation Investment Fund Limited
4/09/2014,IAW,ILH Group Limited,ILH,ILH Group Limited
4/09/2014,DSN,Desert Mines and Metals Limited,PSM,Peninsula Mines Limited
4/09/2014,LER,Leaf Energy Limited,LER,Leaf Resources Ltd
25/08/2014,AGB,Spur Ventures Inc.,AGB,Atlantic Gold Corporation
22/08/2014,COD,Cossack Energy Limited,GAL,Galicia Energy Corporation Ltd
20/08/2014,PIE,PieNetworks Limited,NWZ,Newzulu Limited
18/08/2014,TPN,3PL Learning Limited,3PL,3PL Learning Limited
13/08/2014,TYS,Teys Limited,OAR,Oakdale Resources Limited
12/08/2014,AVY,Avenue Resources Limited,TRI,Triumph Tin Limited
8/08/2014,TEL,Telecom Corporation of New Zealand Limited,SPK,Spark New Zealand Limited
7/08/2014,SPE,SPI Electricity & Gas Australia Holdings Pty Ltd,ANV,Ausnet Services Holdings Pty Ltd
7/08/2014,AVD,Advance Energy Limited,AVD,Antilles Oil and Gas NL
5/08/2014,HJB,Hamilton James & Bruce Group Limited,HJB,HJB Corporation Limited
5/08/2014,SPN,SP AusNet,AST,AusNet Services
18/07/2014,ATH,Atech Holdings Limited,FFG,Fatfish Internet Group Ltd
17/07/2014,TNR,Torian Resources NL,TNR,Torian Resources Limited
17/07/2014,AUV,AUV Entreprises Limited,YPB,YPB Group Ltd
10/07/2014,LTL,Linketone Ltd,MIH,MNC Media Investment Ltd
7/07/2014,PXT,P-REIT,BWR,Blackwall Property Trust
4/07/2014,LAT,Latin Gold Limited,MIG,Migme Limited
4/07/2014,ABZ,Australian Bauxite Limited,ABX,Australian Bauxite Limited
3/07/2014,SKL,Skywards Ltd,ZIP,ZipTel Limited
25/06/2014,PDZ,Prairie Downs Metals Limited,PDZ,Prairie Mining Limited
25/06/2014,MNE,Mining Group Limited,MNE,Metallum Limited
16/06/2014,ATW,ATW Holdings Limited,FIT,Fitgenes Limited
12/06/2014,AZF,The Australian Social Infrastructure Fund,FST,Folkestone Social Infrastructure Fund
12/06/2014,AEU,Australian Education Trust,FET,Folkestone Education Trust
5/06/2014,YTC,YTC Resources Limited,AMI,Aurelia Metals Limited
5/06/2014,CNS,Centius Gold Limited,AWO,Ardent Resources Ltd
3/06/2014,MEJ,Macro Energy Ltd,DCC,Digital CC Limited
3/06/2014,GGP,Golden Gate Petroleum Ltd,OGI,OGI Group Ltd
3/06/2014,JMB,Jumbuck Entertainment Limited,POP,Primary Opinion Limited
2/06/2014,WAS,Wasabi Energy Limited,ESY,Enhanced Systems Technologies Limited
26/05/2014,VKA,Viking Ashanti Limited,VKA,Viking Mines Limited
16/05/2014,ECS,ECSI Limited,CXZ,Connexion Media Limited
2/05/2014,TEY,Torrens Energy Limited,HPR,High Peak Royalties Limited
1/05/2014,CGR,Careers Multilist Limited,CGR,CML Group Limited
24/04/2014,SIU,Sirius Corporation Limited,MOQ,Montech Holdings Limited
23/04/2014,MDS,Midas Resources Limited,HMX,Hammer Metals Limited
22/04/2014,AOM,AO Energy Limited,RHS,Reproductive Health Science Limited
16/04/2014,AVA,Aviva Corporation Limited,DSX,Decimal Software Limited
11/04/2014,DGI,DGI Holdings Limited,ICT,iCollege Limited
11/04/2014,GLM,Gulf Mines Limited,GMC,Gulf Minerals Corporation Ltd
11/04/2014,EQH,Equamineral Holdings Limited,EMH,European Metals Holdings Limited
9/04/2014,FRR,FRR Corporation Limited,RHP,Rhype Limited
3/04/2014,MAB,Mamba Minerals Limited,CIA,Champion Iron Limited
2/04/2014,DIG,Digital Performance Group Ltd,DIG,Asia Pacific Digital Limited
27/03/2014,INT,Intermoco Limited,INT,INT Corporation Limited
25/03/2014,GNM,Gujarat NRE Coking Coal Limited,WLC,Wollongong Coal Limited
18/03/2014,COZ,CO2 Group Limited,COZ,Commodities Group Limited
17/03/2014,MRX,Matrix Metals Limited,CAD,Caeneus Minerals Ltd
28/02/2014,TPL,TPL Corporation Limited,ACJ,African Chrome Fields Limited
24/02/2014,CBP,Carbon Polymers Limited,BEG,Bluenergy Group Limited
19/02/2014,THO,Thomas & Coffey Limited,THO,THO Services Limited
13/02/2014,WAG,WAG Limited,EPA,Ephraim Resources Limited
12/02/2014,AIW,Australian-American Minnig Corporation Limited,AIW,AusAmerican Mining Limited
5/02/2014,IAF,ISHARES UBS COMPOSITE Bond Index Fund,IAF,ISHARES UBS Composite Bond ETF
5/02/2014,IGB,ISHARES UBS Treasury Index Fund,IGB,ISHARES UBS Treasury ETF
4/02/2014,ILC,ISHARES S&P/ASX 20,ILC,ISHARES S&P/ASX 20 ETF
4/02/2014,ISO,ISHARES S&P/ASX Small Ordinaries,ISO,ISHARES S&P/ASX Small Ordinaries ETF
4/02/2014,IOZ,ISHARES MSCI Australia 200,IOZ,ISHARES MSCI Australia 200 ETF
4/02/2014,IHD,ISHARES S&P/ASX High Dividend,IHD,ISHARES S&P/ASX Dividend Opportunities Fund ETF
4/02/2014,ILB,ISHARES UBS Government Inflation Index Fund,ILB,ISHARES UBS Government Inflation ETF
3/02/2014,LRG,Longreach Group Limited,SGO,Stream Group Limited
28/01/2014,CRV,Core Services Group Limited,VMX,Valmec Limited
24/01/2014,PTS,Platsearch NL,VAR,Variscan Mines Limited
20/01/2014,SPA,Spencer Resources Limited,BPF,Bulletproof Group Limited
20/01/2014,ARF,ARENA Group,ARF,ARENA REIT
16/01/2014,MTU,M2 Telecommunications Group Limited,MTU,M2 Group Ltd
15/01/2014,HRC,Hidroco Limited,AGH,Agri-Trade Holdings Limited
10/01/2014,BER,Berklee Limited,BER,Basper Ltd
