As of*,Old details,,New details,
29/12/2010,JGL,Jackgreen Limited,GNB,Greenbox Group Limited
29/12/2010,HLD,Headline Group Limited,MLC,Mothercare Australia Limited
24/12/2010,SUN,Suncorp-Metway Limited,SUN,Suncorp Group Limited
24/12/2010,BPH,BPH Corporate Limited,BPH,BPH Energy Limited
23/12/2010,AWL,AWH Corporation Limited,AEK,Anatolia Energy Limited
23/12/2010,AIB,Aurora Global Infrastructure Income Trust,AIB,Aurora Global Income Trust
20/12/2010,IZZ,iShares FTSE/Xinhua China 25 Index Fund,IZZ,iShares FTSE China 25
17/12/2010,LZC,Lazco Limited,SIT,Site Group International Limited
16/12/2010,ZNC,Zinc Co Australia Limited,ZNC,Zenith Minerals Limited
15/12/2010,OKU,Oklo Uranium Limited,OKU,Oklo Resources Limited
15/12/2010,WIL,Wilson Investment Fund Limited,WAX,WAM Research Limited
14/12/2010,SEY,Sunset Energy Limited,CEL,Challenger Energy Limited
13/12/2010,SUL ,Super Cheap Auto Group Limited,SUL,Super Retail Group Limited
13/12/2010,FNP,Freedom Nutritional Products Limited,FNP,Freedom Foods Group Limited
13/12/2010,SWG,The Swish Group Limited,ABN,AdEffective Limited
13/12/2010,PEV,Pacific Environmin Limited,AQC,Australian Pacific Coal Limited
13/12/2010,MVH,Medic Vision Limited,MOT,Motopia Limited
13/12/2010,TBI,Thomas Bryson International Limited,YHL ,Yanghao International Limited
13/12/2010,ASV,Argus Solutions Limited,MOV,Moore Australasia (Holdings) Limited
10/12/2010,KMN,Kings Minerals NL,CJO,Cerro Resources NL
7/12/2010,QRS,QRSciences Holdings Limited,QTG,Q Technology Group Limited
6/12/2010,EKM ,Eleckra Mines Limited,GOR,Gold Road Resources Limited
6/12/2010,ADL,Admerex Limited,CBK,CB Australia Limited
6/12/2010,MHM,Macquarie Harbour Mining Limited,MHM,MHM Metals Limited
6/12/2010,CVX,Corvette Resources Limited,IGS ,International Goldfields Limited
6/12/2010,BDG,Bendigo Mining Limited,UML,Unity Mining Limited
3/12/2010,COS,Cool or Cosy Limited,ISL,Intelligent Solar Limited
3/12/2010,CVI,Cityview Corporation Limited,CVI ,CVI Energy Corporation Limited
3/12/2010,RUM,Rum Jungle Uranium Ltd,RUM,Rum Jungle Resources Ltd
3/12/2010,WSY,Webspy Limited,QNA,Qanda Technology Ltd
2/12/2010,CMS,Commsecure Limited,WSE,Welcome Stranger Mining Limited
1/12/2010,ASC,Adultshop.com Limited,DLC,Delecta Limited
1/12/2010,CGF,Challenger Financial Services Group Limited,CGF,Challenger Limited
1/12/2010,CXG,Coote Industrial Ltd,EGN,Engenco Limited
1/12/2010,HTC,Hostech Limited,AYG,Anittel Group Limited
30/11/2010,CNK,Condor Nickel Limited,CNK,Condor Metals Limited
30/11/2010,UXA,Uranium Exploration Australia Limited,UXA,UXA Resources Ltd
26/11/2010,SNU,Southern Uranium Limited,IVR,Investigator Resources Ltd
26/11/2010,AQL,Aquacarotene Limited,LER,Leaf Energy Limited
25/11/2010,LEF,Lefroy Resources Limited,BZM,Brazilian Metals Group Limited
24/11/2010,FAT,Fat Prophets Australia Fund Limited,MEF,Merricks Capital Special Opportunity Fund Limited
22/11/2010,PEN,Peninsula Minerals Limited,PEN,Peninsula Energy Limited
22/11/2010,BET,Belmont Holdings Limited,IPC,Imperial Pacific Limited
19/11/2010,HGN,Halcygen Pharmaceuticals Limited,MYX,Mayne Pharma Group Limited
18/11/2010,MNL,Manaccom Corporation Limited,JIN,Jumbo Interactive Limited
12/11/2010,HIL,Hills Industries Limited,HIL,Hills Holdings Limited
10/11/2010,GRT,Garratt's Limited,AKG,Academies Australasia Group Limited
10/11/2010,GRP,Great Pacific Capital Limited,GRP,GRP Corporation Limited
10/11/2010,MAL,Matilda Minerals Limited,BWD,Blackwood Corporation Limited
8/11/2010,AIO,Asciano Group,AIO,Asciano Limited
8/11/2010,NRU,Newera Uranium Limited,NRU,Newera Resources Limited
8/11/2010,NIP,NiPlats Australia Limited,SPM,Speewah Metals Ltd
8/11/2010,RVE,Riviera Resources Limited,SFZ,South American Ferro Metals Limited
4/11/2010,NSP,Nusep Ltd,NSP,Nusep Holdings Ltd
3/11/2010,GWT,GWA International Limited,GWA,GWA Group Limited
26/10/2010,VGM,Victorian Gold Mines NL,CNL,Celamin Holdings NL
25/10/2010,NLB,Nullarbor Holdings Limited,CBP,Carbon Polymers Limited
15/10/2010,TGX,Tasman Goldfields Limited,BUT,Bright Star Resources Limited
14/10/2010,QED ,QED Occtech Limited,TSN,Transaction Solutions International Limited
11/10/2010,CMO,Comtel Corporation Limited,DIG,Digital Performance Group Ltd
11/10/2010,HLI ,HLI Limited,BHG,Beauty Health Group Limited
11/10/2010,NMN, Newport Mining Limited,AGR,Aguia Resources Limited
7/10/2010,AIW,Australian-American Mining Corporation NL,AIW,Australian-American Mining Corporation Limited
7/10/2010,SCV ,SCV Group Limited,EGH,Eureka Group Holdings Limited
5/10/2010,ASQ,Asset Loans Ltd,ASQ,ASQ Financial Group Limited
28/09/2010,MAF ,Multiplex Prime Property Fund,BPA,Brookfield Prime Property Fund
20/09/2010,BTV,Batavia Mining Limited,SHD,Sherwin Iron Limited
20/09/2010,WKF,Western Kingfish Limited,CDG,Cleveland Mining Company Limited
13/09/2010,RGD,RER Group Limited,RQL,Resource Equipment Ltd
9/09/2010,MPF,Multiplex Acumen Property Fund,BAO,Brookfield Australian Opportunities Fund
8/09/2010,ZGM,Zamia Gold Mines Limited,ZGM,Zamia Metals Limited
8/09/2010,WPG,Western Plains Resources Ltd,WPG,WPG Resources Ltd
3/09/2010,GLF,Gulf Resources Limited,GLF,Gulf Industrials Limited
27/08/2010,RKS,Rockstead Financial Services Limited,RKS,RKS Consolidated Limited
25/08/2010,OMI,Occupational & Medical Innovations Limited,OMI,OMI Holdings Limited
23/08/2010,EQX ,Equatorial Coal Limited,EQX,Equatorial Resources Limited
20/08/2010,CPR,Clive Peeters Limited,CPR,Clivpee Limited
16/08/2010,GTX,Golden Tiger Mining NL,OMX,Ormil Energy Limited
11/08/2010,URL ,Universal Resources Limited,AOH,Altona Mining Limited
10/08/2010,ITS,Interstaff International Limited,ITS,ITS Capital Investments Ltd
5/08/2010,EPS,Epsilon Energy Limited,AZH,Azimuth Resources Limited
3/08/2010,BOS,Biosignal Limited,RGM,RGM Media Limited
30/07/2010,FRV,Fall River Resources Ltd,EHR,Earth Heat Resources Ltd
27/07/2010,AAO,Australasia Gold Limited,AAO,Australasia Consolidated Limited
26/07/2010,GTI,Globe Securities Limited,MKE,Mako Energy Limited
15/07/2010,AAF,Austral Africa Resources Limited,EAF,East Africa Resources Limited
9/07/2010,XNU,Xanadu Resources Limited,CZN,Corazon Mining Limited
6/07/2010,TRO,Tri Origin Minerals Ltd,TRO,Triausmin Limited
6/07/2010,GFE,Global Iron Limited,AFQ,African Petroleum Corporation Limited
5/07/2010,SKY,Skydome Holdings Limited,LZC,Lazco Limited
5/07/2010,BSE,Base Iron Limited,BSE,Base Resources Limited
5/07/2010,HAP,HFA Accelerator Plus Limited,SGI ,Signature Capital Investments Limited
2/07/2010,FOF,First Opportunity Fund Limited,VOC,Vocus Communications Limited
2/07/2010,FTD,Fig Tree Developments Ltd,FTD,FTD Corporation Ltd
28/06/2010,ICV,Incitive Limited,HOG,Hawkley Oil and Gas Limited
25/06/2010,MDT,Macquarie DDR Trust,EDT,EDT Retail Trust
25/06/2010,MSH,Morning Star Holdings (Australia) Limited,RRP,Realm Resources Limited
24/06/2010,TRU,Trust Company Limited,TRU,The Trust Company Limited
17/06/2010,MMA,MMC Contrarian Limited,CVW,Clearview Wealth Limited
16/06/2010,VIR,Viridis Clean Energy Group,VIR,Viridis Clean Energy
10/06/2010,ADX,Audax Resources Limited,ADX,ADX Energy Ltd
9/06/2010,AXY,Atom Energy Limited,EXG,Excelsior Gold Limited
4/06/2010,ECU,Eastern Corporation Limited,GLL,Galilee Energy Limited
4/06/2010,ELY,Early Learning Services Limited,GEM,G8 Education Limited
2/06/2010,FAR,First Australian Resources Limited,FAR,FAR Limited
1/06/2010,KIL,KFM Diversified Infrastructure and Logistcs Fund,QUB,Qube Logistics
28/05/2010,DVM,DVM International Limited,TPT,Tangiers Petroleum Limited
19/05/2010,BZI,BrainZ Instruments Limited,TNP,Tango Petroleum Limited
18/05/2010,MRO,Monaro Mining NL,AIW,Australian-American Mining Corporation NL
18/05/2010,ORT ,ORT Limited,NER,Neo Resources Limited
7/05/2010,VNS,Venus Resources Limited,VMC,Venus Metals Corporation Limited
5/05/2010,BRT,Brainytoys Limited,EIO,Energio Limited
5/05/2010,EPR ,Essential Petroleum Resources Limited,SNE,Somerton Energy Limited
23/04/2010,FYI,Freedom Eye Ltd,FYI ,FYI Resources Limited
23/04/2010,IFC,IFC Capital Limited,AHJ,Air Change International Limited
19/04/2010,MCB,Mercury Brands Limited,CNC,Consolidated Capital Investments Ltd
14/04/2010,GGY,Glengarry Resources Limited,CTM,Centaurus Metals Limited
23/03/2010,CLN,Colonial Resources Limited,PIR,Papillon Resources Limited
19/03/2010,ETT,ETT Limited,FWA,Farmworks Australia Limited
16/03/2010,GYN,Graynic Metals Limited,XNU,Xanadu Resources Limited
15/03/2010,SXL,Southern Cross Media Group,SXL,Southern Cross Media Group Limited
11/03/2010,ABO,ABN AMRO Bank NV,ABO,The Royal Bank of Scotland NV
11/03/2010,ETW,ETW Corporation Limited,AJX,Alexium International Group Limited
10/03/2010,WTN,Western Uranium Limited,GOT,Groote Resources Limited
9/03/2010,TGF,Tianshan Goldfields Limited,CVX,Corvette Resources Limited
9/03/2010,GNI,Global Nickel Investments Limited,GNI,Global Nickel Investments NL
5/03/2010,MON ,Monarch Gold Mining Company Limited,SWA,Swan Gold Mining Limited
4/03/2010,CNB,Canberra Investment Corporation Limited,CNB,CIC Australia Limited
4/03/2010,MCW,Macquarie Countrywide Trust,CQR,Charter Hall Retail REIT
4/03/2010,MOF,Macquarie Office Trust,CQO,Charter Hall Office REIT
4/03/2010,BKG,Buka Gold Limited,FEL,Fe Limited
2/03/2010,TTG,The Traffic Group Limited,WKF,Western Kingfish Limited
1/03/2010,WWH,Water Wheel Holdings Limited,SDT,Shandong Tianye Australia Limited
1/03/2010,LUM,Lumacom Limited,USN,US Nickel Limited
1/03/2010,GNM,Gujarat NRE Minerals Limited,GNM,Gujarat NRE Coking Coal Limited
26/02/2010,ESM,Esperance Minerals NL,ESM,Esperance Minerals Limited
25/02/2010,ZYL,Zylotech Limited,ZYL,ZYL Limited
22/02/2010,JHX,James Hardie Industries NV,JHX,James Hardie Industries SE
17/02/2010,ERH,Eromanga Hydrocarbons NL,ERH,Eromanga Hydrocarbons Limited
16/02/2010,WKR,Windy Knob Resources Limited,AKM,Aspire Mining Limited
10/02/2010,BPH,Biopharmica Limited,BPH,BPH Corporate Ltd
8/02/2010,IBG,Ironbark Gold Limited,IBG,Ironbark Zinc Ltd
5/02/2010,MIG,Macquarie Infrastructure Group,ITO,Intoll Group
4/02/2010,CXE,Celtex Limited,SFN,Stanfield Funds Management Limited
3/02/2010,ALX,Allstate Explorations NL,BCO,BCD Resources (Operations) NL
27/01/2010,SUP,Supersorb Environmental NL,NCR,Nucoal Resources NL
18/01/2010,LMP,L&M Petroleum Limited,LME,L&M Energy Limited
15/01/2010,FXI,Fox Invest Limited,EXA,Excela Limited
5/01/2010,WRL,Washington Resources Limited,FCR,Ferrum Crescent Limited
5/01/2010,ABW,Aurora Buy-Write Income Trust,ABW,Aurora Sandringham Australian Equity Income Trust
4/01/2010,BBP,Babcock & Brown Power,AEJ,Alinta Energy Group
