As of*,Old details,,New details,
31/12/2018,JKL,JustKapital Limited,LAW,LawFinance Limited
24/12/2018,AHF,Australian Dairy Farms Group,AHF,Australian Dairy Nutritionals Group
21/12/2018,QTM,Quantum Energy Limited,QTM,Quantum Health Group Limited
21/12/2018,CM8,Crowd Mobile Lending,CM8,Crown Media Holdings Limited
20/12/2018,KAR,Karoon Gas Australia Limited,KAR,Karoon Energy Ltd
19/12/2018,SWJ,Stonewall Resources Limited,TGM,Theta Gold Mines Limited
18/12/2018,BHP,BHP Billiton Limited,BHP,BHP Group Limited
14/12/2018,VIP,Voltage IP Limited,VIP,VIP Gloves Ltd
14/12/2018,HLS,Healius Ltd,HLS,Healius Limited
14/12/2018,LI3,Lithium Consolidated Mineral Exploration Pty Ltd,LI3,Lithium Consolidated Limited
13/12/2018,BKP,Baraka Energy & Resources Limited,GLV,Global Vanadium Limited
13/12/2018,CXZ,Connexion Media Limited,CXZ,Connexion Telematics Ltd
12/12/2018,JCI,JC International Group Limited,JCI,Jiancheng International Group Limited
11/12/2018,ESM,Esperance Minerals Limited,E3S,E3SIXTY Limited
7/12/2018,DW8,Dawine Ltd,DW8,Digital Wine Ventures Limited 
7/12/2018,RBO,Robo 3D Limited ,SF1,STEMify Limited 
7/12/2018,TMP,Tech Mpire Limited,AV1,Adveritas Limited
6/12/2018,VRX,Ventnor Resources Limited ,VRX,VRX Silica Limited 
6/12/2018,CND,Clarius Group Limited ,IGN,Ignite Limited 
5/12/2018,PRY,Primary Health Care Limited,HLS,Healius Limited 
5/12/2018,PUN,Pegasus Metals Limited ,SCN,Scorpion Minerals Limited 
4/12/2018,CLL,Collerina Cobalt Limited,A4N,Alpha HPA Limited 
4/12/2018,HOM,Homeloans Limited,RMC,Resimac Group Ltd 
4/12/2018,KRC,King River Copper Limited ,KRR,King River Resources Limited 
3/12/2018,GCS,Global Constuction Services Limited ,SRG,SRG Global Limited 
3/12/2018,BRC,Brain Resource Limited ,TTB,Total Brain Limited
3/12/2018,MBO,Mobilarm Limited ,JXT,Jaxsta Ltd
3/12/2018,SPI,Spitfire Materials Ltd,BDC,Bardoc Gold Limited
3/12/2018,TFG,Total Face Group Limited,WNB,Wellness and Beauty Solutions Limited 
30/11/2018,ACB,A-Cap Resources Limited ,ACB,A-Cap Energy Limited
30/11/2018,CAB,Cabcharge Australia Limited ,A2B,A2B Australia Limited 
27/11/2018,MOX,Monax Mining Limited,AUT,Auteco Minerals Ltd
27/11/2018,SFH,Specialty Fashion Group Limited ,CCX,City Chic Collective Limited
26/11/2018,DRK,Drake Resources Limited ,RAG,Ragnar Metals Limited 
26/11/2018,POZ,POZ Minerals Limited ,GIB,Gibb River Diamonds Limited 
26/11/2018,WRR,World Reach Limited ,BCC,Beam Communications Holdings Limited 
22/11/2018,THC,The Hydroponics Company Limited,THC,THC Global Group Limited 
19/11/2018,FET,Folkestone Education Trust ,CQE,Charter Hall Education Trust 
16/11/2018,AVD,Antilles Oil and Gas Limited,HSC,Homestay Care Limited
14/11/2018,CXO,Core Exploration Ltd,CXO,Core Lithium Ltd
13/11/2018,FFG,Fatfish Internet Group LTD,FFG,Fatfish Blockchain Limited
6/11/2018,GSC,Global Geoscience Limited,INR,Ioneer Ltd
6/11/2018,PSY,Panorama Synergy Ltd,HYD,Hydrix Limited
5/11/2018,HEG,Hill End Gold Limited,PUA,Pure Alumina Limited
5/11/2018,MNS,Magnis Resources Limited,MNS,Magnis Energy Technologies Ltd
1/11/2018,ASY,AssembleBay Limited,SVD,ScandiVanadium Ltd
23/10/2018,MMJ,MMJ Phytotech Limited,MMJ,MMJ Group Holdings Limited
16/10/2018,MUS,Mustang Resources Limited,NXE,New Energy Minerals Ltd
5/10/2018,COM,ComOps Limited,TBL,Tambla Limited
4/10/2018,SRR,Shaw River Manganese Limited,RLK,Rolek Resources Ltd
3/10/2018,DMC,Digimatic Group Limited,8VI,8VIC Holdings Limited
3/10/2018,NLI,Novo Litio Ltd,ERX,Exore Resources Ltd
1/10/2018,VPC,Velpic Limited,VPC,VPCL Ltd
26/09/2018,SPX,Spectrum Rare Earths Limited,SPX,Spectrum Metals Limited
25/09/2018,RVY,Rift Valley Resources Limited,PM8,Pensana Metals Ltd
24/09/2018,EMG,Emergent Resources Ltd,FEX,Fenix Resources Ltd
20/09/2018,FBR,Fast Brick Robotics Ltd,FBR,FBR Ltd
10/09/2018,IIL,Innate Immunotherapeutics Limited,ATX,Amplia Therapeutics Limited
31/08/2018,OMT,Omni Market Tide Ltd,IME,ImExHS Limited
22/08/2018,SMA,SmartTrans Holdings Limited,ODA,Orcoda Limited
22/08/2018,BCL,A.C.N. 112 682 158 Limited,BCL,Bunji Corporation Limited
21/08/2018,PHK,Phoslock Water Solutions Limited,PET,Phoslock Environmental Technologies Limited
20/08/2018,AEB,Algae.Tec Limited,AEB,Affinity Energy and Health Limited
15/08/2018,DMI,Dempsey Minerals Limited,GLN,Galan Lithium Limited
1/08/2018,USA,UraniumSA Limited,TSC,Twenty Seven Co. Limited
30/07/2018,SKS,Stokes Limited,ENE,Enevis Limited
25/07/2018,DRG,Draig Resources Limited,BGL,Bellevue Gold Limited
17/07/2018,NSL,NSL Consolidated Limited,IOR,IndiOre Ltd
17/07/2018,CNL,Celamin Holdings NL,CNL,Celamin Holdings Limited​
11/07/2018,NAC,NAOS Absolute Opportunities Company Ltd,NAC,NAOS Ex-50 Opportunities Company Limited
11/07/2018,EMF,Emerging Markets Masters Fund,EGF,Evans & Partners Global Flagship Fund
9/07/2018,ESI,Environmental Clean Technologies Limited,ECT,Environmental Clean Technologies Limited
6/07/2018,OTI,Oriental Technologies Investment Limited,SHI,Shine Metals Limited
4/07/2018,FRC,Forte Consolidated Limited,GSN,Great Southern Mining Limited
28/06/2018,CQG,Contango Global Growth Limited,WQG,WCM Global Growth Limited
25/06/2018,TBH,TopBetta Holdings Limited,TBH,The Betmakers Holdings Ltd
21/06/2018,IHS,Interpose Holdings Limited,IVZ,Invictus Energy Ltd
20/06/2018,BMZ,Black Mountain Resources Limited,HIP,Hipo Resources Limited
20/06/2018,BIR,Birrabong Corporation Limited,BIR,BIR Financial Limited
18/06/2018,ACG,Atcor Medical Holdings Limited,CDX,Cardiex Limited
15/06/2018,TAR,Taruga Gold Limited,TAR,Taruga Minerals Limited
14/06/2018,GGG,Greendland Minerals and Energy Limited,GGG,Greenland Minerals Limited
