As of*,Old details ,,New details,
2/05/2005, HLT,Healthpoint Technologies Limited ,HLT ,HLT Limited
2/05/2005, VRI,VRI Biomedical Limited,PCC,Probiomics Limited
29/04/2005, HLL,Hillcrest Litigation Services Limited,HLS,Hillcrest Litigation Services Limited
28/04/2005, HIB ,Hibernia Gold Limited ,MOL ,Molly Mines Limited 
28/04/2005, PMD,P.O.S. Media Online Limited,DVM,Digital and Voice Media Limited
22/04/2005,AVT ,AVT Bioplasma Limited ,AVT ,AVT Plasma Limited 
20/04/2005,BWT ,Tony Barlow Australia Limited ,AUT ,Aurora Oil & Gas Limited 
14/04/2005,OFT ,OFT Limited ,ORH ,Orient Resource Holdings Limited  
11/04/2005,PFP ,WC Penfold Ltd ,WCP,WCP Diversified Investments Ltd 
30/03/2005,AMB ,The Ambition Group Limited ,AMB ,Ambition Group Limited 
17/03/2005,PCO,Pracom Limited,NMB,Namberry Limited
16/03/2005,AME ,Ausmet Resources Limited,BNT,Bounty Industries Limited
15/03/2005,SPK ,Spike Networks Limited ,ARZ ,Amerod Resources Limited
11/03/2005,AVC ,Australian Visual Communications Limited  ,RCI ,Rocklands Richfield PCI Limited 
28/02/2005,RAC ,Reinsurance Australia Limited ,CIX ,Calliden Group Limited 
28/02/2005,PNA ,Pan Australian Resources NL ,PNA ,Pan Australian Resources Limited 
25/02/2005,GIL ,Gregory Industries Limited ,GIL ,Gregory Australia Limited 
23/02/2005,SEQ ,Southern Equity Holdings Limited,CGA ,Compass Gold Limited
11/02/2005,CPC ,Carpenter Pacific Resources NL ,CPC ,Carpenter Pacific Resources Limited
10/02/2005,PLL ,Poltech International Limited ,NEC ,Northern Energy Corporation Limited
9/02/2005,MBG ,Marlborough Resources NL ,AOM ,Australian Oriental Minerals NL 
8/02/2005,JAM ,JAM Development Capital Limited ,MWM ,Mariner Wealth Management Limited 
3/02/2005,CFS,Chieftain Securities Limited ,EIV ,Energy Investments Limited 
31/01/2005,COE,Cooper Energy NL ,COE ,Cooper Energy Limited 
31/01/2005,EUR ,Euraust Ltd ,NSA ,Norwood Systems Ltd 
