As of*,Old details,,New details,
31/12/08,BVE,Bellevue Resources Limited,MII,Meridian Minerals Limited
23/12/08,LPM,Loop Mobile Limited,MKB,MOKO.mobi Limited
22/12/08,IXR,IMX Resources NL,IXR,IMX Resources Limited
19/12/08,SYN,ST Synergy Limited,PSY,Panorama Synergy Ltd
18/12/08,AIM,AIM Resources Limited,BTR,Blackthorn Resources Limited
16/12/08,IIG,Integrated Investment Group Limited,IRG,Integrated Resources Group Limited
15/12/08,APM,Australian Institute of Property Management Limited,VES,Vesture Limited
12/12/08,REA,Realestate.com.au Limited,REA,REA Group Ltd
12/12/08,NOA,Noah Resources NL,NCO,Namibian Copper NL
12/12/08,CTS,Contact Uranium Limited,RMR,Ram Resources Limited
11/12/08,RVM,Revere Mining Limited,ENT,Enterprise Metals Limited
10/12/08,BNT,Bounty Industries Limited,BNT,Bounty Mining Ltd
9/12/08,UOG,Uranium Oil & Gas Limited,UOG,United Orogen Limited
8/12/08,NEO,Nuenco NL,QPN,Quest Petroleum NL
8/12/08,SVN,Senevens International Limited,ECQ,Eco Quest Limited
5/12/08,DSF,Deep Sea Fisheries Limited,DSF,DSF International Holdings Limited
5/12/08,BQT,BQT Solutions Limited,FCS,4C Security Solutions Limited
5/12/08,ANX,Anadis Limited,IMC,Immuron Limited
5/12/08,SBP,Solbec Pharmaceuticals Ltd,FYI,Freedom Eye Ltd
5/12/08,ACU,Avantogen Limited,ACU,Acuvax Limited
3/12/08,ICC,IC2 Global Limited,QNL,Quest Minerals Limited
3/12/08,ICD,Impact Capital Limited,AKF,Ask Funding Limited
3/12/08,NHD,900 Degrees Limited,COJ,Commstrat Limited
3/12/08,MKY,MKY Corporation Limited,MKY,MKY Resources Ltd
3/12/08,BNL,Balkans Gold Limited,IRH,International Resource Holdings Limited
1/12/08,PAU,Panaegis Gold Mines Ltd,NAG,Nagambie Mining Limited
1/12/08,GLX,GulfX Limited,SYS,Syngas Limited
1/12/08,TSV,Transerv Australia Limited,TSV,Transerv Energy Limited
28/11/08,MUR,Murchison United NL,FTE,Forte Energy NL
26/11/08,SGM,Sims Group Limited,SGM,Sims Metal Management Limited
25/11/08,BLS,Biolayer Corporation Limited,ADO,Anteo Diagnostics Limited
25/11/08,HWI,Housewares International Limited,BRG,Breville Group Limited
24/11/08,PRZ,Primary Resources Limited,STZ,Strzelecki Metals Limited
24/11/08,MRA,Mariner American Property Income Trust,RCU,Real Estate Capital Partners USA Property Trust
19/11/08,PXL,Proteome Systems Limited,TDX,Tyrian Diagnostics Limited
19/11/08,AEZ,APN/UKA European Retail Property Group,AEZ,APN European Retail Property Group
17/11/08,MSN,Mineral Sands Limited,COV,Corvette Resources Limited
11/11/08,AHS,Atlas Group Holdings Limited,BIS,Bisalloy Steel Group Ltd
7/11/08,STP,SteriCorp Limited,STP,SteriHealth Limited
6/11/08,CMG,Chandler Macleod Limited,CMG,Chandler Macleod Group Limited
23/10/08,MRK,Maverick Drilling International Limited,MRK,Maverick Energy Limited
16/10/08,BKR,Becker Group Limited,BKR,Broadcast Production Services Limited
8/10/08,CJT,CVC Trinity Property Fund,CJT,CVC Property Fund
7/10/08,CRM,Carbon Minerals NL,CRM,Carbon Minerals Limited
2/10/08,ABI,Ambri Limited,DVA,Diversa Limited
