As of*,Old details,,New details,
30/12/2016,MTA,Metals of Africa Limited,BAT,Battery Minerals Limited
30/12/2016,BYR,Burey Gold Limited,ANL,Amani Gold Limited
28/12/2016,ADN,Adelaide Resources Limited,ADN,Andromeda Metals Limited
23/12/2016,HLS,Hillcrest Litigation Services Limited,BUB,BUBS Australia Limited
21/12/2016,NCO,Nambian Copper Limited,AU1,Ausnet Financial Services Limited
20/12/2016,ARW,Australian Renewable Fuels Limited,TEK,Thorney Technologies Ltd
20/12/2016,FCN,Falcon Minerals Limited,RBO,Robo 3D Limited
20/12/2016,CLA,Celsius Coal Limited,CLA,Celsius Resources Limited
20/12/2016,EXM,Excalibur Mining Corporation Limited,DSE,Dropsuite Limited
15/12/2016,DLE,Dragon Energy Ltd,RIR,Riva Resources Limited
14/12/2016,PEH,Pacific Environment Limited,EVS,Envirosuite Limited
14/12/2016,CWE,Carnegie Wave Energy Limited,CCE,Carnegie Clean Energy Limited
13/12/2016,LTX,Lithex Resources Limited,UTR,Ultracharge Limited
13/12/2016,R3D,Redchip International Limited,R3D,R3D Global Limited
12/12/2016,AVX,Avexa Limited,NHL,Novita Healthcare Limited
9/12/2016,1ST,1ST Available Ltd,1ST,1ST Group Limited
9/12/2016,BRD,Black Ridge Mining NL,SRN,Surefire Resources NL
9/12/2016,PWN,Potash West NL,PWN,Parkway Minerals NL
8/12/2016,AYC,A1 Consolidated Gold Ltd,CTL,Centennial Mining Limited
7/12/2016,IRM,Iron Mountain Mining Limited,PBX,Pacific Bauxite Limited
7/12/2016,CSS,Clean Seas Tuna Limited,CSS,Clean Seas Seafood Limited
6/12/2016,G8C,G8 Communications Limited,CIO,Connected IO Limited
6/12/2016,WVL,Windimurra Vanadium Limited,TSL,Titanium Sands Limited
5/12/2016,RUM,Rum Jungle Resources Ltd,VRM,Verdant Minerals Ltd
2/12/2016,ISG,iShares MSCI Singapore ETF,ISG,iShares MSCI Singapore Capped ETF
2/12/2016,ITW,iShares MSCI Taiwan ETF,ITW,iShares MSCI Taiwan Capped ETF
1/12/2016,GPH,Goldphyre Resources Limited,APC,Australian Potash Limited
30/11/2016,PLP,Platypus Minerals Ltd,LPD,Lepidico Ltd
30/11/2016,GDY,Geodynamics Limited,RNE,Renu Energy Limited
30/11/2016,TRE,Tilt Renewables Limited,TLT,Tilt Renewables Limited
30/11/2016,NTM,Northern Manganese Limited,NTM,NTM Gold Limited
30/11/2016,COK,Cockatoo Coal Limited,BCL,Baralaba Coal Company Limited
29/11/2016,VGR,Voyager Global Group Ltd,CYQ,Cycliq Group Ltd
29/11/2016,EML,Emerchants Limited,EML,EML Payments Limited
28/11/2016,POW,Protean Wave Energy Limited,POW,Protean Energy Limited
28/11/2016,OTC,OTOC Limited,VRS,Veris Limited
28/11/2016,NMG,Noble Mineral Resources Limited,NMG,NMG Corporation Limited
24/11/2016,PWW,Power Resources Limited,K2F,K2fly Limited
23/11/2016,AGX,Agenix Limited,CT1,CCP Technologies Limited
22/11/2016,AYB,Australian Natural Proteins Limited,PDF,Pacific Dairies Limited
15/11/2016,VTM,Volta Mining Limited,ESH,eSports Mogul Asia Pacific Limited
14/11/2016,MEU,Marmota Energy Limited,MEU,Marmota Limited
11/11/2016,POZ,Phosphate Australia Limited,POZ,POZ Minerals Limited
11/11/2016,EDE,Eden Energy Limited,EDE,Eden Innovations Ltd
10/11/2016,MAD,Maverick Drilling & Exploration Limited,FDM,Freedom Oil and Gas Ltd
8/11/2016,MEO,MEO Australia Limited,MAY,Melbana Energy Limited
4/11/2016,NFE,Northern Iron Limited,DTZ,Dotz Nano Limited
4/11/2016,MFF,Magellan Flagship Fund Limited,MFF,MFF Capital Investments Limited
4/11/2016,ELM,Elemental Minerals Limited,K2P,Kore Potash Limited
4/11/2016,DVI,Disruptive Investment Group Limited,IBN,iBuyNew Group Limited
31/10/2016,MUM,Mount Magnet South Limited,IHL,Impression Healthcare Limited
28/10/2016,CET,Vaneck Vectors Chinaamc CSI 300 ETF (SYNTHETIC),CET,Vaneck Vectors Chinaamc CSI 300 ETF
25/10/2016,RCU,Real Estate Capital Partners USA Property Trust,ATT,Ante Real Estate Trust
18/10/2016,CIK,China Integrated Media Corporation Limited,ITL,Integrated Media Technology Limited
18/10/2016,MNQ,MinQuest Limited,EPT,EPAT Technologies Limited
17/10/2016,IWG,Iwebgate Limited,NET,Netlinkz Limited
11/10/2016,GLN,Gleneagle Gold Limited,ZLD,Zelda Therapeutics Limited
23/09/2016,PML,Parmelia Resources Limited,VRI,Veriluma Limited
16/09/2016,PNE,Paynes Find Gold Limited,EUR,European Lithium Limited
15/09/2016,USH,US Masters Holdings Limited,LEX,Lefroy Exploration Limited
8/09/2016,TDX,Tyrian Diagnostocs Limited,CGA,Contango Asset Management Limited
2/09/2016,OFX,OzForex Group Limited,OFX,OFX Group Limited
30/08/2016,WIG,Wilson Group Limited,PNI,Pinnacle Investment Management Group Limited
25/08/2016,SRT,Star Striker Limited,IAM,Intiger Group Limited
23/08/2016,OZB,Oz Brewing Limited,T3D,333D Limited
12/08/2016,SNY,Sunbird Energy Limited,IHS,Interpose Holdings Limited
10/08/2016,ALA,Applabs Technolgies Limited,SP1,Search Party Group Ltd
5/08/2016,SHP,Shoply Limited,HT8,Harris Technology Group Limited
2/08/2016,MCY,Mighty River Power Limited,MCY,Mercury NZ Limited
29/07/2016,MYT,Mighty River Power Limited,MCY,Mighty River Power Limited
28/07/2016,GXN,Global Metals Exploration NL,ZMI,Zinc of Ireland NL
27/07/2016,RAD,Radar Iron Limited,WBT,Weebit Nano Ltd
26/07/2016,MVE,Market Vectors Australian Emerging Resources ETF,MVE,Vaneck Vectors S&P/ASX Midcap ETF
19/07/2016,TTN,Titan Energy Services Limited,AUG,Augend Ltd
19/07/2016,PSF,Pacific Ore Limited,SYT,Syntonic Limited
14/07/2016,CVE,Cove Resources Limited,BID,BidEnergy Limited
13/07/2016,ANO,Antaria Limited,ANO,Advanced Nano Technologies Limited
12/07/2016,MOQ,Montech Holdings Limited,MOQ,MOQ Limited
12/07/2016,BGS,Birimian Gold Limited,BGS,Birimian Limited
11/07/2016,SOI,Soil Sub Technologies Limited,3DP,Pointerra Limited
8/07/2016,BAP,Burson Group Limited,BAP,Bapcor Limited
7/07/2016,PDM,Paradigm Metals Limited,IOD,IODM Limited
