As of*,Old details,,New details,
31/12/2019,INK,Indago Energy Limited,HCD,Hydrocarbon Dynamics Limited 
30/12/2019,NHL,Novita Healthcare Limited,TD1,TALI Digital Limited
24/12/2019,CVT,Covata Limited ,CPT,Cipherpoint Limited 
20/12/2019,VRI,Veriluma Limited,HWH,Houston We Have Limited
17/12/2019,AD1,ApplyDirect Limited,AD1,AD1 Holdings Limited 
16/12/2019,HDY,Hardey Resources Limited,PSL,Paterson Resources Ltd
13/12/2019,GLV,Global Vanadium Limited,GLV,Global Oil & Gas Limited
12/12/2019,KNL,Kibaran Resources Limited,EGR,EcoGraf Limited
12/12/2019,NWC,New World Cobalt Limited,NWC,New World Resources Limited
11/12/2019,SRO,ShareRoot Ltd,OPL,Opyl Limited
10/12/2019,EOR,Enhanced Oil & Gas Recovery Limited,EOR,EOR Group Limited
10/12/2019,JDR,Jadar Lithium Limited,JDR,Jadar Resources Limited
10/12/2019,SUR,Sun Resources NL,PRM,Prominence Energy NL
6/12/2019,MZN,Marindi Metals Limited,FFR,Firefly Resources Limited
6/12/2019,OPN,OpenDNA Limited,RLG,Roolife Group Ltd
5/12/2019,ZLD,Zelda Therapeutics Limited ,ZLD,Zelira Therapeutics Limited 
4/12/2019,APT,Afterpay Touch Group Limited ,APT,Afterpay Limited 
3/12/2019,SG1,Sagon Resources Limited,REE,RareX Limited
29/11/2019,BMP,buyMyplace.com.au Limited,ESL,Eco Systems Ltd
29/11/2019,N27,Northern Cobalt Limited,RML,Resolution Minerals Ltd
28/11/2019,BST,Barrack St Investments Limited,ECP,ECP Emerging Growth Limited
28/11/2019,HXG,Hexagon Resources Limited,HXG,Hexagon Energy Materials Limited
28/11/2019,PYC,Phylogica Limited,PYC,PYC Therapeutics Limited
28/11/2019,SVT,Servtech Global Holdings Ltd,VR1,Vection Technologies Ltd
27/11/2019,SIV,Silver Chef Limited,SIV,SIV Capital Limited
27/11/2019,GPP,Greenpower Energy Limited ,GNM,Great Northern Minerals Limited
26/11/2019,NBL,Noni B Limited ,MOZ,Mosaic Brands Limited
21/11/2019,KRX,Koppar Resources Limited,VUL,Vulcan Energy Resources Limited
21/11/2019,BAU,Bauxite Resources Limited,ASQ,Australian Silica Quartz Group Ltd
15/11/2019,ADO,Anteo Diagnostics Limited,ADO,AnteoTech Ltd
15/11/2019,SFL,Spring FG Limited,WTL,WT Financial Group Limited
15/11/2019,CYB,CYBG PLC,VUK,Virgin Money UK PLC
12/11/2019,NMS,Neptune Marine Services Limited,BLV,Blossomvale Holdings Ltd
5/11/2019,AXE,Archer Exploration Limited,AXE,Archer Materials Limited
30/10/2019,CQE,Charter Hall Education Trust,CQE,Charter Hall Social Infrastructure REIT
29/10/2019,WOR,WorleyParson Limited,WOR,Worley Limited
